RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;PVV (Partij voor de Vrijheid);Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Socialistische Partij (SOPA);CU_SGP;Partij voor de Dieren;Europese Klokkenluiders Partij;Newropeans;Libertas;Liberaal Democratische Partij;De Groenen;Solidara;Europa Voordelig! & Duurzaam;Partij voor Europese Politiek
Nederlek;G0643;10050;Leiden;K15;11004;4895;9;18;4868;724;916;679;791;334;238;298;645;161;22;15;16;11;4;10;2;2
Nederweert;G0946;10681;Maastricht;K19;13069;4414;6;11;4397;2041;817;261;448;205;144;312;19;80;24;12;13;9;6;2;4;0
Neerijnen;G0304;10125;Nijmegen;K6;8806;3674;10;1;3663;740;699;391;433;259;157;141;694;102;15;8;5;4;6;3;1;5
Niedorp;G0412;10923;Den Helder;K11;9075;2998;1;6;2991;534;597;417;502;310;213;196;28;107;31;7;16;7;12;4;7;3
Nieuwegein;G0356;10374;Utrecht;K8;47317;16577;38;47;16492;2552;3508;2219;1675;1915;1471;1466;678;650;97;68;72;38;25;29;20;9
Nieuwerkerk aan den IJssel;G0567;10855;Leiden;K15;16198;6787;3;18;6766;1174;1261;588;960;765;362;375;851;276;37;34;11;19;8;10;2;33
Nieuwkoop;G0569;10728;Leiden;K15;20373;7632;16;10;7606;2219;1587;506;1034;663;428;344;481;199;41;30;27;22;10;3;7;5
Nieuw-Lekkerland;G0571;10547;Dordrecht;K14;6681;3255;11;2;3242;417;374;323;152;99;79;109;1592;74;8;5;4;2;3;0;1;0
Nijefurd;G0104;10768;Leeuwarden;K2;8478;3493;1;4;3488;1154;427;501;312;245;299;232;154;99;35;10;4;2;10;4;0;0
Nijkerk;G0267;10446;Arnhem;K7;29178;12002;12;19;11971;3124;1762;890;1197;867;505;424;2780;264;59;33;27;13;10;5;7;4
Nijmegen;G0268;11209;Nijmegen;K6;126332;49047;100;168;48779;6444;4682;6656;3431;8486;10155;5598;652;1547;173;330;142;134;152;135;40;22
Noord-Beveland;G1695;10250;Middelburg;K16;5895;2458;1;2;2455;582;426;258;356;175;118;164;226;108;12;10;8;3;4;2;2;1
Noordenveld;G1699;10699;Assen;K3;24223;9976;10;15;9951;1601;1336;2064;1380;1083;979;570;480;320;56;19;21;14;11;13;3;1
Noordoostpolder;G0171;10144;Lelystad;K5;33258;13221;28;27;13166;4044;1821;1310;1459;844;616;653;1924;294;75;32;37;14;17;6;13;7
Noordwijk;G0575;10769;Leiden;K15;19288;7668;22;13;7633;1481;1739;672;1346;821;555;377;196;277;52;36;15;28;18;7;9;4
Noordwijkerhout;G0576;11134;Leiden;K15;11631;4696;9;8;4679;1229;1049;377;747;393;306;259;58;165;35;9;21;13;8;4;6;0
Nuenen, Gerwen en Nederwetten;G0820;10761;'s-Hertogenbosch;K18;17227;6898;4;19;6875;1568;936;711;1224;1035;561;473;70;165;33;31;8;29;16;9;3;3
Nunspeet;G0302;10512;Arnhem;K7;19921;9190;24;5;9161;1776;1175;395;671;339;238;232;4098;153;27;17;19;5;5;5;3;3
Nuth;G0951;10104;Maastricht;K19;12690;4691;12;13;4666;1657;1082;434;327;290;258;325;28;190;28;14;13;9;3;2;5;1
Oegstgeest;G0579;10287;Leiden;K15;16458;8854;15;23;8816;1260;1063;933;1611;1882;924;380;254;309;33;58;46;37;12;7;4;3
Oirschot;G0823;10225;'s-Hertogenbosch;K18;13605;4962;9;15;4938;2092;732;374;575;350;231;382;20;112;12;18;18;12;2;3;4;1
Oisterwijk;G0824;10103;Tilburg;K17;19681;7089;9;9;7071;2179;1152;651;1010;769;484;452;69;152;45;32;27;15;17;2;11;4
Oldebroek;G0269;11106;Arnhem;K7;17091;6055;5;3;6047;1331;715;411;299;171;144;166;2681;85;11;9;8;1;5;7;3;0
Oldenzaal;G0173;11100;Zwolle;K4;24332;8410;10;18;8382;3006;1286;909;845;805;536;573;81;164;52;24;15;20;24;28;5;9
Olst-Wijhe;G1773;10409;Zwolle;K4;13312;4863;8;11;4844;1478;517;873;502;397;400;331;121;136;26;15;16;5;12;8;5;2
Ommen;G0175;11069;Zwolle;K4;13613;5832;14;8;5810;2185;631;421;548;403;225;228;974;110;28;18;13;3;9;11;1;2
Onderbanken;G0881;10492;Maastricht;K19;6432;2226;7;6;2213;695;622;236;132;99;90;196;24;91;8;0;8;6;2;2;0;2
Oost Gelre;G1586;11094;Arnhem;K7;22829;7565;15;3;7547;2986;937;806;982;553;389;593;70;117;37;29;6;19;10;4;6;3
Oosterhout;G0826;11280;Tilburg;K17;41273;13338;18;28;13292;2789;2732;1529;1903;1678;876;1026;170;330;68;55;33;35;25;20;12;11
Oostflakkee;G0580;10714;Dordrecht;K14;8075;3103;7;5;3091;625;638;371;292;152;120;131;610;113;7;8;16;4;2;1;0;1
Ooststellingwerf;G0085;10836;Leeuwarden;K2;20262;7607;15;14;7578;1859;1035;1456;745;508;551;611;393;275;46;13;29;18;15;8;8;8
Oostzaan;G0431;11303;Den Helder;K11;6992;2680;8;6;2666;218;756;394;350;268;228;168;84;138;21;11;10;6;8;5;1;0
Opmeer;G0432;10609;Den Helder;K11;8447;2867;8;8;2851;900;541;273;405;225;158;149;31;100;25;7;14;9;4;1;8;1
Opsterland;G0086;10005;Leeuwarden;K2;22699;8445;4;5;8436;1884;775;1818;761;627;647;720;858;212;43;21;21;12;15;10;6;6
Oss;G0828;10834;'s-Hertogenbosch;K18;58694;18793;41;44;18708;4767;3152;1814;1799;1926;1234;3110;128;466;86;64;55;33;23;25;18;8
Oud-Beijerland;G0584;11301;Dordrecht;K14;17900;6996;15;15;6966;1172;1351;698;764;629;446;353;1194;245;28;23;16;20;14;8;3;2
Oude IJsselstreek;G1509;10260;Arnhem;K7;30500;9946;16;9;9921;3508;1544;1284;937;715;551;793;188;242;51;29;25;10;24;10;6;4
Ouder-Amstel;G0437;10998;Haarlem;K10;9805;4575;9;11;4555;719;793;589;661;746;450;219;122;171;26;15;14;9;7;5;5;4
Ouderkerk;G0644;10095;Leiden;K15;6157;2791;3;15;2773;437;444;295;272;146;91;112;868;73;9;3;6;4;5;2;4;2
Oudewater;G0589;10188;Utrecht;K8;7451;3167;4;7;3156;1072;528;218;344;260;142;114;365;56;15;13;14;6;0;1;8;0
Overbetuwe;G1734;11188;Arnhem;K7;33524;11558;14;15;11529;2820;1762;1229;1391;1349;1013;711;790;271;45;35;35;18;21;18;15;6
Papendrecht;G0590;10427;Dordrecht;K14;24284;9079;9;14;9056;1698;1761;1001;1126;737;428;491;1359;289;58;36;21;19;15;7;5;5
Pekela;G0765;10848;Groningen;K1;10084;2871;11;8;2852;445;632;649;172;89;187;383;147;113;15;4;5;2;2;5;2;0
Pijnacker-Nootdorp;G1926;10031;Leiden;K15;33003;13542;20;20;13502;2880;2512;1102;2061;1787;1086;637;652;471;77;76;54;40;22;13;24;8
Purmerend;G0439;11066;Den Helder;K11;60209;19326;37;34;19255;1798;5291;2730;2267;1935;1600;1967;328;949;107;71;83;41;25;26;27;10
Putten;G0273;11109;Arnhem;K7;17623;7749;8;9;7732;2265;1125;347;693;346;231;201;2295;148;26;13;18;4;11;6;2;1
Raalte;G0177;10279;Zwolle;K4;28176;10029;10;12;10007;4481;1061;1017;983;778;533;636;229;172;37;24;14;12;17;5;3;5
Reeuwijk;G0595;10485;Leiden;K15;9840;4693;0;1;4692;1119;807;271;733;404;223;122;843;92;27;14;14;8;3;3;7;2
Reiderland;G1661;11043;Groningen;K1;5573;1458;5;3;1450;144;349;289;134;67;95;255;16;72;6;7;4;5;1;1;3;2
Reimerswaal;G0703;10077;Middelburg;K16;15280;6275;13;7;6255;992;891;384;421;216;129;207;2818;125;30;13;9;9;3;2;6;0
Renkum;G0274;11325;Arnhem;K7;24986;11831;15;15;11801;2161;1453;1481;1610;1878;1373;696;384;527;71;55;32;31;27;5;14;3
Renswoude;G0339;10269;Utrecht;K8;3256;1342;2;2;1338;453;208;43;126;51;27;42;362;19;3;1;1;2;0;0;0;0
Reusel-De Mierden;G1667;10162;'s-Hertogenbosch;K18;9745;2665;4;6;2655;1231;368;226;259;154;97;201;9;48;16;13;15;2;5;2;9;0
Rheden;G0275;11355;Arnhem;K7;35196;14029;21;17;13991;2505;2058;1981;1675;1777;1381;1341;467;554;53;45;32;34;46;19;15;8
Rhenen;G0340;10309;Utrecht;K8;14181;6215;5;9;6201;1028;1112;577;622;523;413;235;1456;157;27;13;15;7;4;6;2;4
Ridderkerk;G0597;10646;Dordrecht;K14;35549;13156;19;17;13120;2226;2886;1413;1108;751;464;705;2903;463;63;36;29;28;11;14;11;9
Rijnwaarden;G0196;10819;Arnhem;K7;8471;2442;3;4;2435;688;566;301;226;187;133;178;15;96;10;12;3;5;12;3;0;0
Rijnwoude;G1672;11257;Leiden;K15;14219;6082;10;15;6057;1519;1024;486;753;618;314;299;801;153;28;14;15;12;8;4;6;3
Rijssen-Holten;G1742;10358;Zwolle;K4;26844;11706;34;8;11664;2596;1111;778;741;384;237;241;5331;150;32;19;10;10;3;6;6;9
Rijswijk;G0603;11133;Dordrecht;K14;37158;14999;22;34;14943;2369;3509;1662;1838;2037;1160;817;396;788;97;76;80;46;33;11;15;9
Roerdalen;G1669;10196;Maastricht;K19;16777;6037;15;22;6000;2367;1646;426;365;292;304;329;23;174;17;20;6;19;5;1;3;3
Roermond;G0957;11313;Maastricht;K19;41971;13552;20;34;13498;3485;3526;1301;1324;1091;1049;922;135;423;70;54;36;19;16;23;10;14
Roosendaal;G1674;10407;Tilburg;K17;58874;17682;37;30;17615;4057;4254;1894;2132;1555;1173;1362;203;584;118;74;75;45;28;31;15;15
Rotterdam;G0599;10345;Rotterdam;K13;426897;127208;496;339;126373;12678;28661;18881;12206;16874;12246;10867;5277;5750;586;565;418;336;206;563;176;83
Rozenburg;G0600;11314;Dordrecht;K14;9712;3022;3;5;3014;533;875;347;285;189;135;265;157;163;22;10;9;9;5;1;5;4
Rozendaal;G0277;10684;Arnhem;K7;1148;754;2;2;750;120;85;70;228;114;62;23;15;23;0;6;0;2;1;0;0;1
Rucphen;G0840;11152;Tilburg;K17;18184;4062;12;5;4045;1044;1409;364;463;183;133;216;27;134;22;15;15;7;4;0;4;5
