RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;PVV (Partij voor de Vrijheid);Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Socialistische Partij (SOPA);CU_SGP;Partij voor de Dieren;Europese Klokkenluiders Partij;Newropeans;Libertas;Liberaal Democratische Partij;De Groenen;Solidara;Europa Voordelig! & Duurzaam;Partij voor Europese Politiek
Aa en Hunze;G1680;10787;Assen;K3;20009;8038;11;6;8021;1096;993;1843;1408;871;717;537;147;286;48;29;11;12;9;4;6;4
Aalburg;G0738;11084;Tilburg;K17;9198;3685;5;2;3678;843;559;145;226;102;87;100;1501;71;18;4;11;6;3;2;0;0
Aalsmeer;G0358;11264;Haarlem;K10;20907;8176;11;12;8153;1645;1785;748;1320;868;487;381;483;300;38;20;18;26;12;10;8;4
Aalten;G0197;11046;Arnhem;K7;20780;7879;14;8;7857;3290;920;820;641;415;410;625;454;179;31;19;19;11;15;4;2;2
Abcoude;G0305;10712;Utrecht;K8;6251;3429;6;6;3417;628;500;276;622;597;372;136;115;114;11;14;8;12;8;2;1;1
Achtkarspelen;G0059;10199;Leeuwarden;K2;21538;6750;7;10;6733;2389;859;1018;357;256;269;381;1022;112;25;19;10;3;4;1;5;3
Alblasserdam;G0482;11327;Dordrecht;K14;13932;5641;11;4;5626;969;871;737;422;275;220;275;1646;139;11;21;15;5;7;5;6;2
Albrandswaard;G0613;10124;Dordrecht;K14;17559;6671;13;8;6650;1131;1740;665;916;726;368;357;368;268;26;19;20;19;5;7;8;7
Alkmaar;G0361;10527;Den Helder;K11;71458;24588;31;41;24516;3001;3981;3767;2468;3009;3339;2555;547;1209;155;153;92;63;70;52;37;18
Almelo;G0141;11053;Zwolle;K4;53821;15698;30;29;15639;3330;2920;2406;1667;1590;1075;1182;779;407;64;39;50;37;32;42;15;4
Almere;G0034;10018;Lelystad;K5;130857;40296;113;65;40118;3232;10889;5111;4851;4838;3642;3268;1224;2084;233;217;165;100;85;100;50;29
Alphen aan den Rijn;G0484;10517;Leiden;K15;54394;20319;53;36;20230;3767;3567;2041;2642;2444;1654;1536;1495;677;116;93;62;68;22;14;22;10
Alphen-Chaam;G1723;10710;Tilburg;K17;7249;2855;0;5;2850;1134;541;182;349;232;163;133;18;47;18;8;10;3;5;2;2;3
Ameland;G0060;11153;Leeuwarden;K2;2637;1284;2;0;1282;398;187;222;172;87;73;72;25;27;9;2;2;0;5;0;1;0
Amersfoort;G0307;10948;Utrecht;K8;104457;43101;67;92;42942;6113;5702;5305;4561;6518;5430;2900;4066;1446;172;234;151;124;84;78;30;28
Amstelveen;G0362;10799;Haarlem;K10;57014;26163;53;56;26054;3373;4430;3048;4293;4455;2781;1404;561;1091;121;160;111;88;51;21;33;33
Amsterdam;G0363;11150;Amsterdam;K9;545004;201725;748;479;200498;9748;25607;29369;18441;42616;40127;16071;2199;10672;782;1581;663;625;821;792;287;97
Andijk;G0364;10822;Den Helder;K11;4919;1914;3;1;1910;445;360;194;224;111;108;138;223;77;10;5;10;2;1;1;1;0
Anna Paulowna;G0366;10344;Den Helder;K11;10692;3572;1;8;3563;778;743;374;688;264;218;212;97;108;23;16;15;7;8;3;6;3
Apeldoorn;G0200;11075;Arnhem;K7;120353;44526;74;80;44372;8275;6694;5556;5335;4991;3576;2916;4512;1725;192;183;117;85;73;68;50;24
Appingedam;G0003;10886;Groningen;K1;9587;2874;6;2;2866;595;462;639;231;211;133;262;205;90;12;2;8;2;5;1;7;1
Arcen en Velden;G0885;10202;Maastricht;K19;6694;2577;2;14;2561;1030;635;187;202;162;114;122;20;51;13;7;8;1;6;1;1;1
Arnhem;G0202;10795;Arnhem;K7;110898;35785;71;68;35646;4259;5013;4902;3364;5721;5532;3398;1059;1534;153;217;131;99;127;81;39;17
Assen;G0106;10522;Assen;K3;50110;18797;32;34;18731;3127;2086;3488;1812;1799;1794;1573;2167;606;65;58;39;31;32;31;10;13
Asten;G0743;10478;'s-Hertogenbosch;K18;12390;5316;4;7;5305;1195;648;281;2302;200;233;273;16;87;13;12;6;9;10;15;4;1
Baarle-Nassau;G0744;10060;Tilburg;K17;5299;1885;0;1;1884;761;383;118;151;137;77;148;1;56;15;9;12;8;5;2;1;0
Baarn;G0308;11411;Utrecht;K8;18818;8306;18;18;8270;1342;1357;837;1448;1147;787;436;493;280;34;28;36;20;9;7;3;6
Barendrecht;G0489;10943;Dordrecht;K14;33755;12691;28;20;12643;2304;2821;1146;1563;1200;728;624;1587;442;57;48;42;33;9;25;10;4
Barneveld;G0203;10906;Arnhem;K7;37288;17202;24;23;17155;4196;2454;633;1314;596;396;353;6800;206;80;32;27;30;8;16;12;2
Bedum;G0005;10425;Groningen;K1;8025;3655;1;9;3645;1038;276;576;255;230;302;237;626;81;11;3;2;2;2;1;3;0
Beek;G0888;11374;Maastricht;K19;13158;4980;5;8;4967;1586;1358;464;417;344;253;308;33;130;17;23;11;11;5;4;3;0
Beemster;G0370;10816;Den Helder;K11;6622;2990;5;3;2982;559;611;388;514;292;208;195;31;124;16;6;13;11;4;2;3;5
Beesel;G0889;10195;Maastricht;K19;10669;3328;1;2;3325;1093;985;312;240;168;181;199;18;84;9;14;11;3;2;0;5;1
Bellingwedde;G0007;10340;Groningen;K1;7474;2668;1;4;2663;353;549;548;241;186;176;345;77;139;19;7;8;2;9;1;2;1
Bergambacht;G0491;10962;Leiden;K15;7260;3504;10;2;3492;599;492;419;457;227;124;141;927;73;13;7;5;1;4;0;3;0
Bergeijk;G1724;11160;'s-Hertogenbosch;K18;13781;4690;1;4;4685;1899;766;374;572;338;184;356;28;104;17;12;21;3;3;2;4;2
Bergen;G0893;11281;Maastricht;K19;10356;2999;4;5;2990;1160;766;234;252;156;120;206;10;43;5;5;11;3;5;10;2;2
Bergen;G0373;11424;Den Helder;K11;24557;10807;21;27;10759;1647;1996;1261;1695;1453;1122;651;93;568;64;50;57;40;44;3;9;6
Bergen op Zoom;G0748;11037;Tilburg;K17;49558;15098;28;32;15038;2818;3494;1807;1944;1567;1023;1232;209;553;182;47;56;35;18;36;8;9
Berkelland;G1859;10436;Arnhem;K7;34888;13145;14;27;13104;3958;1657;1993;1748;1137;816;1069;227;340;39;37;28;16;22;4;7;6
Bernheze;G1721;10149;'s-Hertogenbosch;K18;22219;6736;6;19;6711;2664;866;563;681;526;332;783;33;147;28;23;29;12;10;4;4;6
Bernisse;G0568;10316;Dordrecht;K14;9884;3791;9;15;3767;796;895;388;533;331;168;196;214;145;39;19;16;6;4;3;10;4
Best;G0753;10442;'s-Hertogenbosch;K18;21445;6978;15;16;6947;1710;1168;729;1018;822;444;496;220;191;40;41;22;18;10;7;6;5
Beuningen;G0209;10417;Nijmegen;K6;19238;6035;9;6;6020;1525;985;746;683;669;507;563;80;152;39;22;21;10;4;7;6;1
Beverwijk;G0375;10272;Haarlem;K10;28769;8936;13;15;8908;1350;2095;1307;943;866;842;712;112;421;66;63;29;25;27;29;17;4
Binnenmaas;G0585;10222;Dordrecht;K14;22619;8990;6;24;8960;1667;1888;963;1160;741;433;478;1193;285;39;39;36;11;11;6;4;6
Bladel;G1728;11006;'s-Hertogenbosch;K18;14607;4760;0;6;4754;1851;714;385;568;327;252;384;30;115;36;20;52;8;4;0;6;2
Blaricum;G0376;10493;Haarlem;K10;6965;3374;3;2;3369;468;618;309;811;549;229;148;40;131;18;16;7;13;5;2;4;1
Bloemendaal;G0377;10850;Haarlem;K10;16530;9232;14;23;9195;1465;1158;733;2280;1952;720;259;132;309;26;39;32;55;19;5;8;3
Boarnsterhim;G0055;10815;Leeuwarden;K2;14697;6073;6;10;6057;1246;558;1562;763;603;496;465;106;159;39;21;11;7;9;3;7;2
Bodegraven;G0497;11091;Leiden;K15;14387;6211;9;11;6191;1666;948;456;657;461;384;250;1125;144;23;8;26;24;7;6;3;3
Boekel;G0755;10432;'s-Hertogenbosch;K18;7159;2413;6;13;2394;1113;352;184;232;120;79;213;10;62;8;5;7;3;0;2;2;2
Bolsward;G0064;10865;Leeuwarden;K2;7569;2779;7;4;2768;936;331;456;163;201;189;236;117;91;22;5;6;1;6;4;4;0
Borger-Odoorn;G1681;10448;Assen;K3;20541;7206;13;11;7182;1396;1122;1455;951;568;537;443;314;285;33;18;20;10;10;8;7;5
Borne;G0147;10326;Zwolle;K4;15893;5741;5;10;5726;1729;745;823;654;639;407;466;95;99;25;15;2;10;8;6;1;2
Borsele;G0654;10043;Middelburg;K16;16900;6425;14;7;6404;1515;860;508;531;320;349;315;1675;224;28;32;16;10;7;7;4;3
Boskoop;G0499;10419;Leiden;K15;11099;4995;6;4;4985;1336;815;352;665;447;364;208;555;151;31;18;17;7;7;8;1;3
Boxmeer;G0756;11227;'s-Hertogenbosch;K18;21680;8524;18;15;8491;2979;1312;703;829;638;447;1227;75;165;32;32;13;17;9;4;7;2
Boxtel;G0757;10083;'s-Hertogenbosch;K18;22989;7366;14;18;7334;1960;1112;850;787;822;568;794;71;192;42;52;41;19;10;1;8;5
Breda;G0758;10154;Tilburg;K17;131154;44474;99;113;44262;8213;7146;5051;6190;6797;4554;3616;500;1308;219;205;149;106;83;53;50;22
Breukelen;G0311;10807;Utrecht;K8;10787;4934;4;11;4919;1005;825;415;672;563;359;192;696;119;20;18;14;5;9;3;0;4
Briefstemmen;G9999;;Niet-provinciaal ingedeeld;P99;39601;28755;1262;39;27454;15309;1527;1170;2499;2039;3311;459;359;345;83;77;99;60;82;6;17;12
Brielle;G0501;10232;Dordrecht;K14;12109;4620;6;20;4594;724;1067;545;717;495;278;450;113;147;17;17;8;7;2;4;2;1
Bronckhorst;G1876;11159;Arnhem;K7;29424;11240;22;12;11206;3654;1461;1334;1547;997;693;736;349;282;38;27;24;22;23;7;7;5
Brummen;G0213;10798;Arnhem;K7;16386;5786;11;6;5769;1107;941;965;777;638;441;485;126;188;24;17;14;9;18;10;4;5
Brunssum;G0899;10533;Maastricht;K19;23603;6822;15;19;6788;1583;2163;762;370;329;350;633;168;311;36;13;37;12;9;7;3;2
Bunnik;G0312;10820;Utrecht;K8;10886;5799;9;7;5783;1277;605;642;698;874;887;267;204;205;25;38;18;19;9;4;10;1
Bunschoten;G0313;11343;Utrecht;K8;14516;5778;19;2;5757;1513;905;148;247;133;88;79;2549;40;19;10;13;4;1;1;7;0
Buren;G0214;11286;Nijmegen;K6;19675;7304;0;8;7296;1293;1571;759;1166;706;442;316;689;240;27;19;23;16;15;7;2;5
Bussum;G0381;10281;Haarlem;K10;23728;10763;16;30;10717;1471;1579;1101;2044;2026;1076;513;240;424;52;49;59;39;19;8;11;6
Capelle aan den IJssel;G0502;11248;Leiden;K15;49799;17613;39;45;17529;2218;3941;1978;1929;1726;971;1139;2454;810;91;57;54;36;33;53;19;20
Castricum;G0383;11287;Den Helder;K11;26709;11983;15;18;11950;2195;1869;1557;1746;1514;1385;705;146;497;83;125;45;26;27;11;18;1
Coevorden;G0109;10383;Assen;K3;27828;10208;13;9;10186;2609;1479;1873;1480;767;558;718;312;274;42;19;15;16;11;9;3;1
Cranendonck;G1706;10219;'s-Hertogenbosch;K18;15783;4950;5;21;4924;1518;1099;446;633;348;177;390;48;166;30;22;21;14;2;3;6;1
Cromstrijen;G0611;11346;Dordrecht;K14;10071;4027;11;6;4010;747;819;455;574;326;194;218;497;126;17;14;3;5;6;0;7;2
Cuijk;G1684;10023;'s-Hertogenbosch;K18;18291;8008;22;53;7933;2302;1341;941;863;776;544;818;42;180;33;24;27;9;8;13;7;5
Culemborg;G0216;10342;Nijmegen;K6;19933;8023;10;15;7998;1152;1352;1146;929;981;1147;556;319;264;32;33;22;27;19;11;7;1
Dalfsen;G0148;11007;Zwolle;K4;20404;8113;9;12;8092;3158;859;659;735;509;346;276;1341;125;18;13;14;17;11;5;3;3
Dantumadiel;G1891;10650;Leeuwarden;K2;14866;5085;6;6;5073;1755;649;692;201;169;214;256;986;91;27;7;9;6;5;2;2;2
De Bilt;G0310;10168;Utrecht;K8;32196;16982;17;27;16938;2611;2181;1678;2676;2757;1894;1027;1176;611;65;98;59;62;16;8;7;12
De Marne;G1663;10180;Groningen;K1;8311;3332;3;3;3326;773;367;533;340;206;323;255;359;138;7;4;2;5;9;1;2;2
De Ronde Venen;G0736;11379;Utrecht;K8;26052;10646;19;20;10607;2445;2274;719;1746;1109;619;404;746;355;39;42;50;27;10;7;14;1
De Wolden;G1690;10262;Assen;K3;18188;7636;12;9;7615;1942;1013;1068;1480;619;446;366;374;219;20;20;16;9;15;4;4;0
Delft;G0503;10928;Dordrecht;K14;71929;29729;80;147;29502;3643;3988;3834;3098;5637;3964;2151;1189;1114;126;237;154;161;75;63;52;16
Delfzijl;G0010;10976;Groningen;K1;21020;5943;5;18;5920;1274;1014;1219;534;386;284;496;437;196;36;9;9;9;7;8;0;2
Den Helder;G0400;10285;Den Helder;K11;44873;12327;20;22;12285;1759;3207;1401;1645;1044;694;901;723;665;84;37;46;27;20;15;9;8
Deurne;G0762;10379;'s-Hertogenbosch;K18;24262;7252;16;24;7212;2097;1144;507;1797;457;381;564;35;138;23;18;14;12;14;1;7;3
Deventer;G0150;10899;Zwolle;K4;72508;26131;41;53;26037;4034;3126;4376;2814;3639;3302;2248;958;919;92;152;66;57;83;130;36;5
Diemen;G0384;11039;Haarlem;K10;18103;6871;8;16;6847;643;1480;959;692;1001;944;538;107;294;36;45;41;23;19;15;8;2
Dinkelland;G1774;10245;Zwolle;K4;19400;6858;11;11;6836;3550;988;425;722;402;280;215;74;100;34;10;13;3;5;3;6;6
Dirksland;G0504;11344;Dordrecht;K14;6301;2765;4;2;2759;549;446;204;211;92;68;116;965;75;10;3;9;1;2;0;5;3
Doesburg;G0221;10327;Arnhem;K7;8786;3143;5;5;3133;484;411;438;328;422;226;602;78;92;15;9;7;6;4;4;7;0
Doetinchem;G0222;10396;Arnhem;K7;43140;15237;18;20;15199;3501;2246;2216;1536;1530;1385;1459;621;465;75;46;38;20;20;16;13;12
Dongen;G0766;11412;Tilburg;K17;19245;6332;12;8;6312;1623;1034;691;736;611;411;781;128;206;20;30;10;10;6;4;7;4
Dongeradeel;G0058;10198;Leeuwarden;K2;18550;6803;11;15;6777;2791;718;764;419;348;350;444;677;172;41;11;19;6;9;1;4;3
Dordrecht;G0505;11157;Dordrecht;K14;88489;29790;51;66;29673;4043;5621;3852;2847;3161;2676;2411;3113;1322;178;109;95;71;57;75;22;20
Drechterland;G0498;10642;Den Helder;K11;14421;5254;7;11;5236;1210;1092;542;840;483;366;356;59;185;24;18;26;15;10;3;3;4
Drimmelen;G1719;10258;Tilburg;K17;20769;6481;10;18;6453;1780;1296;664;825;619;481;435;53;173;40;27;25;18;11;2;2;2
Dronten;G0303;10210;Lelystad;K5;28201;11540;26;17;11497;3151;2017;1008;1657;958;613;578;1022;291;41;47;24;29;17;23;15;6
Druten;G0225;10068;Nijmegen;K6;13623;4343;10;9;4324;1212;688;593;488;440;256;462;18;107;15;9;10;13;1;2;2;8
Duiven;G0226;11028;Arnhem;K7;18802;5884;7;19;5858;1335;1050;721;710;627;502;469;160;182;27;21;18;10;12;3;11;0
Echt-Susteren;G1711;10941;Maastricht;K19;25721;9523;21;30;9472;3838;2560;653;493;439;459;497;63;344;25;27;28;20;11;5;8;2
Edam-Volendam;G0385;10884;Den Helder;K11;21491;7449;7;17;7425;1431;2954;509;860;445;425;341;66;246;53;27;23;16;14;5;7;3
Ede;G0228;10743;Arnhem;K7;79877;35002;36;46;34920;7407;5078;2729;3177;2689;2233;1303;9006;750;141;118;105;53;59;34;24;14
Eemnes;G0317;10248;Utrecht;K8;6551;2904;5;9;2890;568;517;313;462;361;189;165;136;126;13;16;7;6;1;3;5;2
Eemsmond;G1651;10246;Groningen;K1;12676;5140;7;8;5125;1257;513;914;415;251;350;394;790;170;24;20;7;7;10;1;1;1
Eersel;G0770;10741;'s-Hertogenbosch;K18;14243;4999;3;16;4980;1956;697;394;626;493;259;291;33;119;26;24;32;12;5;6;6;1
Eijsden;G0905;10314;Maastricht;K19;8844;3198;9;10;3179;1089;682;342;273;277;211;162;15;74;11;12;9;10;12;0;0;0
Eindhoven;G0772;11298;'s-Hertogenbosch;K18;159725;50406;103;206;50097;8011;7986;6255;5849;7199;5432;5374;901;1720;233;390;204;181;132;106;91;33
Elburg;G0230;11113;Arnhem;K7;16633;6924;4;12;6908;1649;837;387;518;252;201;205;2670;130;16;11;15;4;7;2;3;1
Emmen;G0114;11180;Assen;K3;84727;25121;43;41;25037;5930;4562;5188;2042;1674;1469;1972;1010;807;123;69;61;39;38;24;20;9
Enkhuizen;G0388;10729;Den Helder;K11;13895;4881;8;13;4860;676;878;692;540;530;421;483;281;231;43;25;21;12;12;5;3;7
Enschede;G0153;10364;Zwolle;K4;117593;36460;93;114;36253;5506;5414;5809;4211;4727;3526;3114;2072;1055;122;228;105;131;91;83;35;24
Epe;G0232;10940;Arnhem;K7;25715;9766;12;16;9738;2181;1568;1312;1284;816;503;445;1210;296;32;25;14;17;14;10;6;5
Ermelo;G0233;10732;Arnhem;K7;20347;9018;11;14;8993;2431;1245;558;886;609;441;335;2106;257;37;31;18;16;11;4;5;3
Etten-Leur;G0777;10750;Tilburg;K17;31343;9296;26;19;9251;2118;1855;1093;1344;927;613;674;142;293;54;35;25;27;17;15;13;6
Ferwerderadiel;G1722;11284;Leeuwarden;K2;6751;2424;7;9;2408;946;223;299;198;126;118;179;205;80;16;6;1;2;1;6;1;1
Franekeradeel;G0070;10404;Leeuwarden;K2;15739;5632;5;4;5623;1792;723;1003;458;359;364;365;341;131;49;11;3;9;4;7;3;1
Gaasterlân-Sleat;G0653;10036;Leeuwarden;K2;7932;3386;10;6;3370;1239;398;410;306;240;209;170;252;86;23;7;7;8;9;3;2;1
Geertruidenberg;G0779;10101;Tilburg;K17;16353;4705;4;13;4688;1166;1068;558;569;363;275;379;85;142;26;14;15;11;4;7;5;1
Geldermalsen;G0236;10881;Nijmegen;K6;19497;8586;11;8;8567;1640;1785;865;1101;710;497;371;1231;196;33;40;37;20;16;11;5;9
Geldrop-Mierlo;G1771;10529;'s-Hertogenbosch;K18;29175;9618;9;39;9570;2121;1592;943;1507;1044;763;936;138;346;49;29;20;36;15;9;11;11
Gemert-Bakel;G1652;10277;'s-Hertogenbosch;K18;21794;6519;13;13;6493;2453;970;527;925;412;335;610;26;146;26;21;13;8;10;5;6;0
Gennep;G0907;10542;Maastricht;K19;13308;4134;11;12;4111;1261;719;443;386;385;262;424;36;119;26;13;14;8;7;5;1;2
Giessenlanden;G0689;10255;Dordrecht;K14;10876;5169;7;7;5155;1294;760;533;625;308;172;241;1048;101;21;12;18;8;9;0;3;2
Gilze en Rijen;G0784;11375;Tilburg;K17;19322;6350;5;15;6330;1679;1196;836;728;619;415;513;37;182;30;23;22;17;16;8;8;1
Goedereede;G0511;10981;Dordrecht;K14;8835;4479;6;3;4470;1178;618;278;338;150;101;146;1544;88;11;8;5;2;0;1;2;0
Goes;G0664;10674;Middelburg;K16;28702;10442;25;23;10394;2134;1358;1148;1082;907;828;653;1745;366;45;50;33;14;12;11;1;7
Goirle;G0785;10971;Tilburg;K17;17566;5988;3;18;5967;1506;924;744;706;720;512;522;38;203;14;32;16;11;10;0;6;3
Gorinchem;G0512;10942;Dordrecht;K14;25371;8818;18;16;8784;1245;1589;1175;979;985;644;668;955;315;41;36;97;16;16;15;4;4
Gouda;G0513;10302;Leiden;K15;52356;21898;37;48;21813;2974;3819;2692;1941;2673;2231;1477;2755;810;88;122;69;55;55;25;17;10
Graafstroom;G0693;10451;Dordrecht;K14;6995;3788;4;4;3780;1263;359;176;217;101;83;93;1391;56;17;3;14;3;2;0;1;1
Graft-De Rijp;G0365;11417;Den Helder;K11;4933;2257;3;4;2250;443;435;302;338;211;163;198;13;109;9;14;4;2;2;4;1;2
Grave;G0786;10165;'s-Hertogenbosch;K18;9517;3484;7;2;3475;930;587;316;446;341;251;387;30;113;24;23;8;9;2;2;5;1
Groesbeek;G0241;10616;Nijmegen;K6;15034;5140;9;8;5123;1488;878;664;392;444;499;428;60;187;26;15;17;4;12;5;3;1
Groningen;G0014;10426;Groningen;K1;148918;58435;105;178;58152;5183;4718;10207;5243;10068;10098;5686;3394;2197;221;431;181;199;152;106;33;35
Grootegast;G0015;11080;Groningen;K1;8986;3145;2;3;3140;1212;337;303;238;128;160;140;505;74;13;10;13;2;2;2;1;0
Gulpen-Wittem;G1729;11032;Maastricht;K19;11832;4682;5;6;4671;1773;1055;384;279;284;318;291;53;122;18;21;29;16;17;3;4;4
Haaksbergen;G0158;11435;Zwolle;K4;18749;6600;16;15;6569;2335;1029;757;802;601;306;415;80;151;23;12;13;14;13;9;7;2
Haaren;G0788;11155;'s-Hertogenbosch;K18;10450;3511;9;8;3494;1403;466;264;453;307;227;193;25;87;24;10;15;2;4;1;12;1
Haarlem;G0392;10357;Haarlem;K10;112696;42972;76;92;42804;4363;6042;6042;4178;7466;6538;3799;902;2378;174;258;161;230;141;71;40;21
Haarlemmerliede en Spaarnwoude;G0393;10508;Haarlem;K10;4081;1620;4;2;1614;340;327;189;216;193;132;78;22;74;12;9;6;8;3;1;1;3
Haarlemmermeer;G0394;11387;Haarlem;K10;103211;38483;70;72;38341;5980;8827;3637;6377;4371;2678;2170;1656;1713;220;208;148;111;60;137;29;19
Halderberge;G1655;10397;Tilburg;K17;22666;6632;15;14;6603;1687;1611;672;899;585;319;444;60;190;45;27;23;16;5;7;9;4
Hardenberg;G0160;10174;Zwolle;K4;44061;16514;14;26;16474;5983;2000;1680;1157;675;584;732;3207;270;54;24;28;26;19;19;12;4
Harderwijk;G0243;10786;Arnhem;K7;32453;12036;9;18;12009;2832;1882;1054;1273;1044;723;539;2139;344;48;37;24;19;14;23;10;4
Hardinxveld-Giessendam;G0523;10167;Dordrecht;K14;12982;5737;4;6;5727;1019;647;401;367;137;112;177;2732;89;12;5;7;8;5;6;1;2
Haren;G0017;11058;Groningen;K1;14304;7841;12;13;7816;1251;660;1134;1260;1255;1022;351;554;220;29;18;24;16;17;1;4;0
Harenkarspel;G0395;10963;Den Helder;K11;11856;3955;3;9;3943;984;722;449;595;351;304;225;41;158;37;25;23;10;11;2;5;1
Harlingen;G0072;10909;Leeuwarden;K2;12079;4029;11;6;4012;734;658;697;398;289;305;455;227;161;41;16;8;5;10;6;1;1
Hattem;G0244;10673;Arnhem;K7;8949;4106;6;11;4089;902;390;586;404;340;203;131;988;90;7;10;8;7;11;5;4;3
Heemskerk;G0396;10679;Haarlem;K10;29209;9602;14;12;9576;1804;2015;1358;1047;951;919;701;186;358;67;70;27;33;9;14;14;3
Heemstede;G0397;11288;Haarlem;K10;19649;9937;11;16;9910;1576;1280;933;2123;2003;900;380;142;365;48;51;35;40;15;8;7;4
Heerde;G0246;10291;Arnhem;K7;14194;5906;12;3;5891;1642;848;697;545;335;204;178;1203;171;18;13;7;11;6;7;3;3
Heerenveen;G0074;10680;Leeuwarden;K2;33378;12043;19;6;12018;2254;1348;2841;1347;1211;926;869;616;370;76;44;32;20;12;40;9;3
Heerhugowaard;G0398;10752;Den Helder;K11;37615;11541;22;18;11501;2078;2225;1499;1547;1222;938;957;285;461;74;74;40;28;25;16;20;12
Heerlen;G0917;10902;Maastricht;K19;70689;21138;57;45;21036;4430;5534;2220;1537;1328;1236;3297;284;784;108;54;88;47;37;27;9;16
Heeze-Leende;G1658;10462;'s-Hertogenbosch;K18;11791;4513;6;11;4496;1289;571;410;970;498;240;270;32;120;20;13;12;37;7;3;3;1
Heiloo;G0399;10793;Den Helder;K11;17120;7690;7;13;7670;1324;1202;993;1271;1063;799;375;110;342;54;39;41;19;22;7;7;2
Helden;G0918;10205;Maastricht;K19;15091;4839;2;6;4831;2106;1110;290;381;234;271;239;24;87;32;16;24;1;8;2;6;0
Hellendoorn;G0163;10806;Zwolle;K4;27652;9795;9;18;9768;4143;1210;977;733;624;540;462;728;236;38;25;16;7;9;9;7;4
Hellevoetsluis;G0530;11078;Dordrecht;K14;30622;9577;14;12;9551;1108;2841;1173;1275;902;554;802;278;423;58;51;28;21;7;13;10;7
Helmond;G0794;10932;'s-Hertogenbosch;K18;64212;18099;46;31;18022;2786;3837;1636;4301;1473;1176;1917;160;486;46;61;39;38;20;23;16;7
Hendrik-Ido-Ambacht;G0531;10416;Dordrecht;K14;19321;7399;8;14;7377;1286;1342;614;799;462;283;243;2045;197;29;20;18;11;11;12;5;0
Hengelo;G0164;10907;Zwolle;K4;61268;21579;55;61;21463;4429;3149;3208;2100;2433;1795;2565;746;604;95;99;64;51;62;43;12;8
Het Bildt;G0063;10128;Leeuwarden;K2;8030;2939;4;7;2928;989;356;499;264;174;167;264;94;92;19;5;0;0;3;1;1;0
Heumen;G0252;10600;Nijmegen;K6;12494;5513;6;11;5496;1464;673;686;568;773;634;432;48;136;21;21;11;6;8;5;9;1
Heusden;G0797;10307;'s-Hertogenbosch;K18;32270;10016;31;24;9961;2777;1971;879;1297;1027;593;775;146;274;78;50;32;11;15;8;25;3
Hillegom;G0534;11236;Leiden;K15;15619;6332;11;15;6306;1284;1360;576;981;663;496;351;159;278;39;23;25;25;17;14;11;4
Hilvarenbeek;G0798;11297;Tilburg;K17;11470;4296;7;1;4288;1768;535;332;448;388;290;298;23;137;21;15;17;7;1;1;5;2
Hilversum;G0402;11285;Haarlem;K10;63555;26569;52;51;26466;3374;4425;3104;3613;4315;2831;2100;988;1166;123;110;95;95;60;31;24;12
Hof van Twente;G1735;10076;Zwolle;K4;27101;10469;19;19;10431;3466;1416;1502;1525;944;552;499;165;227;39;16;31;20;16;4;4;5
Hoogeveen;G0118;10839;Assen;K3;42278;14221;22;25;14174;4460;2215;1992;1112;748;717;881;1615;261;52;34;27;21;12;11;11;5
Hoogezand-Sappemeer;G0018;10410;Groningen;K1;26900;7888;14;7;7867;931;1416;1855;820;570;580;714;521;297;55;25;19;19;13;21;10;1
Hoorn;G0405;11392;Den Helder;K11;52377;17399;25;42;17332;2246;3364;2456;1986;2072;1853;1771;310;862;126;79;60;31;50;36;21;9
Horst aan de Maas;G1507;11108;Maastricht;K19;22223;7378;10;11;7357;3102;1390;457;551;435;353;782;37;155;22;20;23;9;7;4;6;4
Houten;G0321;10230;Utrecht;K8;34189;15074;10;26;15038;2541;2034;1602;1689;2083;1674;760;1859;506;69;85;38;35;23;26;12;2
Huizen;G0406;11170;Haarlem;K10;32010;13556;8;36;13512;2320;2344;1292;1967;1745;983;700;1377;511;84;46;40;41;23;16;11;12
Hulst;G0677;11408;Middelburg;K16;20678;6893;21;19;6853;1894;1586;782;759;487;355;572;81;230;30;17;31;6;7;2;10;4
IJsselstein;G0353;10152;Utrecht;K8;24914;9126;10;14;9102;1744;1746;1010;1145;1166;720;660;471;280;37;32;33;19;10;7;18;4
Kaag en Braassem;G1884;10349;Leiden;K15;19409;7586;14;9;7563;2212;1404;630;1287;677;491;377;135;182;45;39;24;21;10;9;12;8
Kampen;G0166;10253;Zwolle;K4;36815;14600;14;14;14572;3590;1612;1163;755;662;838;793;4690;315;40;21;33;15;14;22;7;2
Kapelle;G0678;11223;Middelburg;K16;9137;3848;9;13;3826;859;487;329;394;273;175;187;962;114;15;6;3;6;7;4;3;2
Katwijk;G0537;10707;Leiden;K15;45660;16003;30;32;15941;4380;2938;839;1230;782;570;601;3875;479;74;47;41;24;26;10;13;12
Kerkrade;G0928;10313;Maastricht;K19;36829;10516;20;27;10469;2788;3076;1803;434;357;478;900;62;392;48;28;44;20;16;10;4;9
