RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GPV/RPF/SGP;GROENLINKS;De Groenen;SP (Socialistische Partij);Centrumdemocraten;Een Betere Toekomst;Lijst de Groen
Best;G0753;10442;Noord-Brabant;P30;16894;6155;26;;6129;2734;974;855;1105;111;113;70;86;54;14;13
Beuningen;G0209;10417;Gelderland;P25;17305;5117;21;;5096;1882;1276;752;739;60;185;99;51;27;18;7
Beverwijk;G0375;10272;Noord-Holland;P27;27582;8732;25;;8707;2488;2808;1402;1050;185;287;225;71;125;56;10
Binnenmaas;G0585;10222;Zuid-Holland;P28;14537;5800;9;;5791;1386;1241;1454;583;803;98;112;35;67;11;1
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;7932;2637;7;;2630;1376;413;395;254;22;66;23;52;19;4;6
Blaricum;G0376;10493;Noord-Holland;P27;7786;3525;6;;3519;745;634;1322;474;93;109;90;15;27;10;
Bleiswijk;G0495;10994;Zuid-Holland;P28;6872;2950;9;;2941;1069;385;763;279;294;48;61;7;25;6;4
Bloemendaal;G0377;10850;Noord-Holland;P27;13359;6865;25;;6840;1736;953;2800;806;107;169;214;20;21;7;7
Boarnsterhim;G0055;10815;Fryslân;P21;13602;5741;14;;5727;1225;2417;1012;606;88;155;155;41;12;4;12
Bodegraven;G0497;11091;Zuid-Holland;P28;13617;5365;16;;5349;1952;714;982;498;956;101;68;23;42;7;6
Boekel;G0755;10432;Noord-Brabant;P30;6801;2408;14;;2394;1334;387;317;216;4;40;33;40;12;8;3
Bolsward;G0064;10865;Fryslân;P21;7492;2853;0;;2853;1306;706;314;243;94;58;78;36;5;3;10
Borculo;G0211;11307;Gelderland;P25;7714;3594;9;;3585;1013;1045;910;332;66;54;103;20;14;14;14
Borger;G0108;10448;Drenthe;P22;10151;4094;10;;4084;975;1522;762;394;166;73;141;21;20;8;2
Born;G0897;10927;Limburg;P31;11109;4353;36;;4317;2339;785;331;530;29;169;31;36;46;21;
Borne;G0147;10326;Overijssel;P23;16197;6419;12;;6407;3151;1196;937;635;98;129;169;25;18;6;43
Borsele;G0654;10043;Zeeland;P29;15618;5733;13;;5720;1700;786;749;666;1499;90;146;21;55;7;1
Boskoop;G0499;10419;Zuid-Holland;P28;10910;4827;16;;4811;1664;652;1068;536;563;169;66;24;50;11;8
Boxmeer;G0756;11227;Noord-Brabant;P30;15080;6206;22;;6184;3074;1323;810;512;46;123;80;151;40;16;9
Boxtel;G0757;10083;Noord-Brabant;P30;18993;5908;20;;5888;2453;1376;748;743;49;173;88;191;47;13;7
Brakel;G0212;11125;Gelderland;P25;4937;1992;7;;1985;480;349;190;81;842;13;13;7;6;4;
Breda;G0758;10154;Noord-Brabant;P30;100368;29109;62;;29047;8644;6559;5748;4700;388;1428;790;299;328;110;53
Brederwiede;G0194;11088;Overijssel;P23;9084;4143;16;;4127;1529;923;539;277;706;57;53;18;18;6;1
Breukelen;G0311;10807;Utrecht;P26;10650;4708;10;;4698;1347;711;975;541;789;164;96;20;22;14;19
Briefstemmen;G9999;;Niet-provinciaal ingedeeld;P99;15936;11195;33;;11162;1746;1568;4582;1726;371;579;386;71;86;24;23
Brielle;G0501;10232;Zuid-Holland;P28;12160;4155;6;;4149;896;963;1245;675;120;85;67;30;49;15;4
Broekhuizen;G0898;10856;Limburg;P31;1419;583;2;;581;338;77;92;34;2;19;7;2;9;1;
Brouwershaven;G0656;10030;Zeeland;P29;2979;1230;1;;1229;212;335;350;136;125;29;23;6;9;2;2
Bruinisse;G0657;11291;Zeeland;P29;2620;1033;3;;1030;210;168;196;73;358;5;7;4;6;;3
Brummen;G0213;10798;Gelderland;P25;15812;5768;22;;5746;1297;1876;1231;762;161;157;157;35;42;10;18
Brunssum;G0899;10533;Limburg;P31;23688;6820;17;;6803;3196;1560;476;676;132;190;86;352;110;15;10
Budel;G0759;10219;Noord-Brabant;P30;9637;2735;9;;2726;1459;500;352;244;22;46;23;23;41;13;3
Bunnik;G0312;10820;Utrecht;P26;10838;5489;6;;5483;1838;953;1252;649;225;330;150;27;40;15;4
Bunschoten;G0313;11343;Utrecht;P26;13069;6417;9;;6408;1542;276;488;243;3754;31;19;11;37;4;3
Buren;G0214;11286;Gelderland;P25;7684;2971;8;;2963;568;698;946;359;192;77;67;14;31;9;2
Bussum;G0381;10281;Noord-Holland;P27;24754;10019;18;;10001;2414;1969;3165;1191;407;386;294;71;70;24;10
