RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GPV/RPF/SGP;GROENLINKS;De Groenen;SP (Socialistische Partij);Centrumdemocraten;Een Betere Toekomst;Lijst de Groen
Rijsbergen;G0841;10866;Noord-Brabant;P30;4378;1339;6;;1333;619;234;248;165;13;15;18;8;9;4;
Rijssen;G0178;10358;Overijssel;P23;17093;9470;24;;9446;2109;792;411;226;5728;36;44;27;45;11;17
Rijswijk;G0603;11133;Zuid-Holland;P28;38337;14989;52;;14937;4054;2991;4008;2028;509;462;329;132;239;161;24
Roden;G0125;10699;Drenthe;P22;14276;5985;8;;5977;1351;1868;1146;688;422;166;225;52;38;16;5
Roerdalen;G1669;10196;Limburg;P31;7711;3104;15;;3089;1666;497;423;290;15;82;34;12;35;6;29
Roermond;G0957;11313;Limburg;P31;32033;10014;52;;9962;4225;1790;1679;1102;119;582;104;93;203;42;23
Roggel en Neer;G1670;10505;Limburg;P31;6089;2228;7;;2221;1330;295;237;217;8;74;25;17;11;3;4
Rolde;G0126;10470;Drenthe;P22;4959;2426;1;;2425;270;821;884;249;43;43;90;21;3;;1
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;46980;13664;32;;13632;5212;2676;2555;1654;182;398;369;214;284;57;31
Rosmalen;G0839;10970;Noord-Brabant;P30;20503;6597;31;;6566;2363;1423;1222;850;48;189;128;276;38;23;6
Rossum;G0276;10860;Gelderland;P25;2430;928;4;;924;362;221;162;90;13;39;14;9;11;2;1
Rotterdam;G0599;10345;Zuid-Holland;P28;437413;117402;724;;116678;23964;36364;20335;13985;6880;5361;2406;3049;3583;537;214
Rozenburg;G0600;11314;Zuid-Holland;P28;10801;3066;13;;3053;806;794;587;405;229;66;43;31;78;13;1
Rozendaal;G0277;10684;Gelderland;P25;1025;580;0;;580;137;69;250;88;11;10;8;2;2;2;1
Rucphen;G0840;11152;Noord-Brabant;P30;17630;3978;10;;3968;1829;893;592;370;24;44;49;16;135;12;4
Ruinen;G0127;10629;Drenthe;P22;5544;2372;6;;2366;522;670;776;194;84;37;53;15;11;3;1
Ruinerwold;G0128;10944;Drenthe;P22;2729;1385;1;;1384;378;303;444;124;65;25;33;2;3;;7
Ruurlo;G0278;10879;Gelderland;P25;6095;2429;8;;2421;734;572;761;215;27;35;44;16;5;3;9
Sas van Gent;G0704;11405;Zeeland;P29;6902;2054;21;;2033;643;432;342;422;42;41;38;22;32;19;
Sassenheim;G0604;10612;Zuid-Holland;P28;10927;4310;15;;4295;1719;626;1060;560;115;69;75;32;19;13;7
Schagen;G0441;10511;Noord-Holland;P27;13107;4340;12;;4328;933;1238;1110;607;61;149;114;49;43;20;4
Scheemda;G0039;10711;Groningen;P20;10709;4180;30;;4150;1154;1613;422;255;290;112;203;53;35;9;4
Schermer;G0458;10308;Noord-Holland;P27;3725;1469;3;;1466;514;356;332;143;13;43;41;6;14;3;1
Scherpenzeel;G0279;11146;Gelderland;P25;6512;3144;3;;3141;915;453;532;186;962;30;30;;20;9;4
Schiedam;G0606;11260;Zuid-Holland;P28;54882;15725;40;;15685;4035;4676;2525;2081;659;625;328;259;395;77;25
Schiermonnikoog;G0088;10355;Fryslân;P21;806;480;0;;480;148;115;100;59;22;11;23;1;1;;
Schijndel;G0844;11178;Noord-Brabant;P30;16923;5156;12;;5144;2276;1086;645;441;14;75;52;492;40;17;6
Schinnen;G0962;10132;Limburg;P31;10921;4859;21;;4838;2551;758;414;691;50;237;32;51;35;14;5
Schipluiden;G0607;10130;Zuid-Holland;P28;6511;2972;6;;2966;1537;290;624;255;133;65;34;12;11;4;1
Schoonebeek;G0129;10064;Drenthe;P22;5833;2034;6;;2028;1140;453;171;151;31;17;40;11;10;4;
Schoonhoven;G0608;10980;Zuid-Holland;P28;8965;3800;12;;3788;1023;765;663;511;540;125;70;21;44;25;1
Schoorl;G0444;10627;Noord-Holland;P27;5331;2287;8;;2279;554;608;529;304;27;80;92;46;33;4;2
Sevenum;G0964;10045;Limburg;P31;5372;2020;1;;2019;1290;216;192;218;11;24;25;30;8;5;
's-Graveland;G0390;10534;Noord-Holland;P27;7277;2932;3;;2929;891;555;731;368;167;83;84;13;25;10;2
's-Gravendeel;G0517;10052;Zuid-Holland;P28;6629;2549;12;;2537;716;639;420;215;442;35;22;15;32;1;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;326970;99574;496;;99078;21348;23881;25702;13354;3764;4134;2892;1325;2119;364;195
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;1680;681;0;;681;288;66;119;68;110;11;6;6;4;2;1
's-Gravenzande;G0519;10640;Zuid-Holland;P28;14070;5117;6;;5111;2131;540;1384;294;609;54;56;6;33;3;1
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;73565;20842;38;;20804;6663;5258;3061;2697;329;1291;522;595;307;50;31
Simpelveld;G0965;10515;Limburg;P31;9541;3423;0;;3423;1860;688;247;376;19;71;44;64;30;17;7
Sint Philipsland;G0712;10394;Zeeland;P29;1766;749;1;;748;106;69;57;36;447;8;13;10;2;;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;9532;3352;17;;3335;1387;718;518;447;33;78;59;57;16;14;8
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;12773;4841;20;;4821;2481;905;587;559;20;88;61;70;29;12;9
Sittard;G0968;11230;Limburg;P31;37020;12755;77;;12678;5572;2297;1438;1593;82;1226;97;145;139;50;39
Skarsterlân;G0051;10022;Fryslân;P21;18938;7621;20;;7601;3162;2011;1011;621;300;114;290;34;36;6;16
Sleen;G0130;10489;Drenthe;P22;6812;2741;9;;2732;685;1036;542;207;92;38;91;14;18;9;
Sliedrecht;G0610;11331;Zuid-Holland;P28;17842;6621;14;;6607;1223;1448;699;547;2449;75;44;32;77;9;4
Slochteren;G0040;10747;Groningen;P20;10864;4171;7;;4164;760;1208;570;338;872;96;258;24;26;8;4
Sluis;G0713;10895;Zeeland;P29;2394;975;5;;970;253;184;324;120;18;12;29;6;13;8;3
Smallingerland;G0090;10405;Fryslân;P21;38267;16623;41;;16582;5377;5089;1672;1325;1977;522;371;140;68;20;21
Smilde;G0131;11033;Drenthe;P22;7157;2848;6;;2842;1097;769;348;234;206;62;83;16;17;6;4
Sneek;G0091;11421;Fryslân;P21;22709;7674;18;;7656;2764;2322;1033;738;355;207;155;36;28;7;11
Soest;G0342;11021;Utrecht;P26;31786;12851;46;;12805;3866;2126;3554;1575;888;301;287;53;106;19;30
Someren;G0847;10203;Noord-Brabant;P30;13321;4430;16;;4414;2559;590;633;398;27;78;43;27;42;17;
Son en Breugel;G0848;10549;Noord-Brabant;P30;11383;4658;12;;4646;1802;644;1201;691;52;87;96;18;22;20;13
Spijkenisse;G0612;10735;Zuid-Holland;P28;51786;13019;50;;12969;2272;3749;2979;2107;687;348;197;263;276;72;19
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;7404;2556;6;;2550;730;288;439;197;774;28;28;20;40;5;1
St.Anthonis;G1691;11415;Noord-Brabant;P30;8296;3812;16;;3796;2402;555;398;273;16;74;35;22;12;8;1
Stad Delden;G0179;10913;Overijssel;P23;5835;2853;9;;2844;1279;437;673;276;40;31;39;21;12;7;29
Stadskanaal;G0037;10610;Groningen;P20;25909;8901;21;;8880;3125;2462;812;549;1455;127;227;59;39;15;10
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;2233;697;0;;697;287;133;133;83;10;20;13;1;15;1;1
Staphorst;G0180;11362;Overijssel;P23;9758;5077;3;;5074;844;360;472;143;3172;20;19;18;19;6;1
Stede Broec;G0532;11337;Noord-Holland;P27;14171;4644;13;;4631;1591;1139;822;598;104;161;96;32;69;17;2
Steenbergen;G0851;10731;Noord-Brabant;P30;11453;3076;18;;3058;1167;641;670;357;20;54;77;19;42;8;3
Steenderen;G0280;10497;Gelderland;P25;3555;1713;4;;1709;866;328;261;125;33;23;53;5;9;3;3
Steenwijk;G0181;10546;Overijssel;P23;16432;6695;16;;6679;2099;1997;1018;581;542;186;118;51;54;24;9
Stein;G0971;11319;Limburg;P31;21253;7033;49;;6984;3225;1342;732;1033;44;319;62;94;87;34;12
Stramproy;G0973;11186;Limburg;P31;3898;1554;6;;1548;953;233;139;147;5;27;6;20;14;2;2
Strijen;G0617;10558;Zuid-Holland;P28;6735;2603;13;;2590;597;696;590;198;364;56;46;12;19;10;2
Susteren;G0974;10457;Limburg;P31;10464;3919;30;;3889;2128;692;311;481;19;145;27;25;36;20;5
Swalmen;G0975;10474;Limburg;P31;6562;2352;7;;2345;1191;466;253;263;12;92;11;15;33;5;4
Tegelen;G0976;11333;Limburg;P31;14148;4716;12;;4704;2400;900;458;527;31;95;49;52;166;20;6
Ten Boer;G0009;10891;Groningen;P20;4975;2580;2;;2578;800;593;232;200;562;46;117;14;12;2;
Ter Aar;G0480;11104;Zuid-Holland;P28;6748;2571;13;;2558;1222;321;501;258;134;43;32;10;15;17;5
Terheijden;G0853;10905;Noord-Brabant;P30;6544;2607;8;;2599;929;563;426;490;22;51;57;19;32;9;1
Terneuzen;G0715;10704;Zeeland;P29;27087;8363;42;;8321;1931;1416;1300;1566;1594;164;119;59;142;26;4
Terschelling;G0093;11210;Fryslân;P21;3870;1860;1;;1859;445;502;458;216;42;80;84;22;10;;
Teteringen;G0854;10677;Noord-Brabant;P30;4354;1927;5;;1922;793;286;452;256;16;39;35;12;17;10;6
Texel;G0448;10237;Noord-Holland;P27;9990;4439;13;;4426;1364;1139;872;462;160;220;151;27;14;11;6
Tholen;G0716;10376;Zeeland;P29;14764;5206;0;;5206;924;813;710;336;2243;42;40;54;37;3;4
Thorn;G0977;11195;Limburg;P31;2114;894;7;;887;489;175;64;104;8;21;15;3;3;5;
Tiel;G0281;10027;Gelderland;P25;24309;6765;10;;6755;1576;1966;1472;923;269;214;151;79;83;6;16
Tilburg;G0855;10792;Noord-Brabant;P30;125571;34166;66;;34100;11975;7693;4343;4499;322;2083;689;1826;457;138;75
Tubbergen;G0183;10694;Overijssel;P23;14290;6568;21;;6547;5037;437;528;304;37;28;66;16;51;9;34
Tytsjerksteradiel;G0737;11241;Fryslân;P21;23099;9270;24;;9246;3894;2236;1119;700;753;156;284;54;22;16;12
Ubbergen;G0282;10408;Gelderland;P25;7565;3018;8;;3010;1235;658;477;321;16;161;103;20;11;5;3
Uden;G0856;11141;Noord-Brabant;P30;27798;8813;11;;8802;3784;1466;1653;958;63;125;102;584;37;19;11
Udenhout;G0857;11268;Noord-Brabant;P30;6704;2205;0;;2205;1136;407;305;225;5;46;22;17;23;15;4
Uitgeest;G0450;11238;Noord-Holland;P27;7672;2773;7;;2766;807;698;553;396;30;133;96;22;17;12;2
Uithoorn;G0451;11206;Noord-Holland;P27;18950;7189;10;;7179;1992;1435;2152;921;150;242;150;46;60;21;10
Urk;G0184;10783;Flevoland;P24;8292;3550;2;;3548;942;25;25;13;2505;4;4;4;20;6;
Utrecht;G0344;10722;Utrecht;P26;177661;64292;318;;63974;11887;17998;8994;9670;2001;8217;2594;1334;1014;149;116
Vaals;G0981;10007;Limburg;P31;8760;3060;9;;3051;1232;839;279;324;28;112;147;45;29;12;4
Valburg;G0283;11071;Gelderland;P25;9800;3652;10;;3642;1211;624;665;460;420;112;101;17;15;14;3
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;2453;981;1;;980;332;129;161;72;238;15;19;4;9;1;
Valkenburg aan de Geul;G0994;11077;Limburg;P31;14436;5508;37;;5471;2803;815;697;721;34;149;54;89;47;18;44
Valkenisse;G0720;10779;Zeeland;P29;4776;1792;4;;1788;593;240;409;228;236;23;44;5;5;4;1
Valkenswaard;G0858;11031;Noord-Brabant;P30;24027;7635;4;;7631;3129;1701;1276;987;74;152;93;122;68;11;18
Veendam;G0047;11292;Groningen;P20;21637;6600;20;;6580;1392;2524;1122;746;267;101;264;78;57;14;15
Veenendaal;G0345;11052;Utrecht;P26;37579;14111;24;;14087;3984;1861;1935;1145;4491;301;174;68;100;17;11
Veere;G0717;10369;Zeeland;P29;3831;1708;2;;1706;604;135;289;189;373;43;60;6;5;1;1
Veghel;G0860;10985;Noord-Brabant;P30;24665;8798;37;;8761;4644;1475;1264;846;50;121;95;178;53;23;12
Veldhoven;G0861;10071;Noord-Brabant;P30;30089;10018;27;;9991;4030;1888;1799;1365;141;234;164;210;95;37;28
Velsen;G0453;10620;Noord-Holland;P27;49824;16044;22;;16022;4017;4534;3497;1992;692;509;380;151;182;45;23
Venhuizen;G0454;10433;Noord-Holland;P27;5471;2281;10;;2271;779;456;637;220;24;51;60;16;14;8;6
Venlo;G0983;10477;Limburg;P31;49289;14454;16;;14438;6806;2420;2168;1588;136;572;274;192;222;33;27
Venray;G0984;11222;Limburg;P31;26331;8235;6;;8229;4519;1421;907;868;48;179;125;85;54;15;8
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;3927;1624;4;;1620;988;169;255;131;3;24;15;10;12;4;9
Vianen;G0620;10887;Zuid-Holland;P28;14235;5169;18;;5151;1450;1184;884;642;655;129;99;36;55;11;6
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;5634;2149;12;;2137;1171;328;276;227;9;65;28;12;17;2;2
Vlaardingen;G0622;10811;Zuid-Holland;P28;57528;17850;33;;17817;4345;4766;2901;2024;1756;536;323;794;283;72;17
Vlagtwedde;G0048;11249;Groningen;P20;12739;3854;7;;3847;1292;1192;542;245;206;42;258;34;26;5;5
Vledder;G0132;11120;Drenthe;P22;3044;1283;4;;1279;265;446;292;148;44;27;43;1;10;1;2
Vleuten-De Meern;G0347;10658;Utrecht;P26;13238;5461;9;;5452;2261;722;1233;597;269;123;129;40;56;18;4
Vlieland;G0096;10211;Fryslân;P21;902;506;5;;501;74;133;187;53;19;19;13;3;;;
Vlijmen;G0864;11293;Noord-Brabant;P30;12182;3826;17;;3809;1623;759;638;496;27;71;59;67;51;15;3
Vlissingen;G0718;10270;Zeeland;P29;34223;9652;46;;9606;2286;2404;1729;1482;893;284;191;127;168;24;18
Vlist;G0623;11174;Zuid-Holland;P28;7277;3311;7;;3304;952;532;652;331;695;37;49;19;28;6;3
Voerendaal;G0986;11341;Limburg;P31;10361;3845;4;;3841;2006;591;450;514;20;129;34;63;26;4;4
Voorburg;G0624;11103;Zuid-Holland;P28;32431;13565;48;;13517;3539;2602;3988;1751;496;404;271;108;162;176;20
Voorhout;G0625;10017;Zuid-Holland;P28;8081;3232;9;;3223;1243;457;872;427;67;66;47;9;18;15;2
Voorschoten;G0626;10537;Zuid-Holland;P28;17213;7844;24;;7820;2155;1233;2443;1197;214;248;196;52;36;35;11
Voorst;G0285;10912;Gelderland;P25;17840;7658;19;;7639;2942;1658;1583;771;328;124;134;14;41;18;26
Vorden;G0286;10957;Gelderland;P25;6649;3169;3;;3166;1230;589;784;311;85;33;112;8;7;2;5
Vries;G0133;10630;Drenthe;P22;7489;3291;11;;3280;515;945;1008;396;129;87;147;9;29;11;4
Vriezenveen;G0186;10643;Overijssel;P23;13903;5437;8;;5429;2490;891;453;276;1207;27;36;13;20;4;12
Vught;G0865;11224;Noord-Brabant;P30;19024;6601;14;;6587;2542;1306;1352;872;66;176;147;56;44;17;9
Waalre;G0866;10959;Noord-Brabant;P30;12077;5059;11;;5048;1880;801;1314;702;38;110;102;36;35;13;17
Waalwijk;G0867;11359;Noord-Brabant;P30;22183;6643;20;;6623;2680;1252;1210;778;227;184;77;79;93;32;11
Waddinxveen;G0627;10081;Zuid-Holland;P28;18742;7707;11;;7696;1867;1268;1558;897;1799;87;92;41;62;17;8
Wageningen;G0289;11010;Gelderland;P25;26076;12250;41;;12209;2418;2961;1771;1747;723;1754;658;104;31;25;17
Warmond;G0628;10204;Zuid-Holland;P28;4010;1709;2;;1707;690;297;408;172;28;44;35;14;5;13;1
Warnsveld;G0291;10838;Gelderland;P25;6627;2990;4;;2986;779;765;657;441;97;99;111;16;9;6;6
Waspik;G0869;10402;Noord-Brabant;P30;3711;1331;0;;1331;615;255;198;133;47;18;25;19;14;6;1
Wassenaar;G0629;10164;Zuid-Holland;P28;19427;8790;19;;8771;2524;887;3947;826;213;119;127;26;54;29;19
Wateringen;G0630;11329;Zuid-Holland;P28;11122;4032;12;;4020;1848;453;973;407;113;52;71;10;61;28;4
Waterland;G0852;10983;Noord-Holland;P27;13756;5354;17;;5337;1460;1369;1261;650;149;191;153;34;49;19;2
Weerselo;G0188;10893;Overijssel;P23;6740;3336;9;;3327;2550;246;253;132;22;26;46;7;18;2;25
Weert;G0988;11081;Limburg;P31;31536;10701;52;;10649;4571;2018;2150;1069;81;218;83;149;266;26;18
Weesp;G0457;10773;Noord-Holland;P27;13550;4932;17;;4915;1120;1382;1000;709;185;198;142;47;101;27;4
Wehl;G0292;11116;Gelderland;P25;5168;1655;7;;1648;961;323;147;147;9;21;18;2;11;2;7
Werkendam;G0870;10078;Noord-Brabant;P30;13787;4914;11;;4903;1705;745;618;276;1393;68;44;19;24;6;5
Wervershoof;G0459;11270;Noord-Holland;P27;5637;2096;5;;2091;1149;295;336;161;16;51;58;;18;6;1
West Maas en Waal;G0668;10042;Gelderland;P25;13602;4647;24;;4623;2347;986;706;367;29;65;55;39;20;8;1
Westerbork;G0134;11095;Drenthe;P22;6073;3146;4;;3142;805;1065;638;313;119;55;102;16;21;6;2
Westerhoven;G0871;11041;Noord-Brabant;P30;1386;569;1;;568;335;75;89;33;5;14;9;4;2;;2
Wester-Koggenland;G0558;10354;Noord-Holland;P27;9615;3875;7;;3868;1654;774;823;351;13;102;86;17;32;13;3
Westerschouwen;G0725;10701;Zeeland;P29;4833;2170;7;;2163;558;422;653;207;204;33;43;8;26;4;5
Westervoort;G0293;11085;Gelderland;P25;11064;3517;2;;3515;973;1005;577;556;115;133;92;35;24;3;2
Westkapelle;G0726;10931;Zeeland;P29;2085;988;0;;988;257;229;179;53;230;9;23;;7;1;
Weststellingwerf;G0098;11322;Fryslân;P21;19002;6592;22;;6570;2005;2125;1193;520;211;175;168;64;73;18;18
Westvoorne;G0614;10009;Zuid-Holland;P28;10850;4080;18;;4062;847;850;1564;420;113;75;86;35;53;18;1
Wierden;G0189;10676;Overijssel;P23;16973;8707;19;;8688;4600;875;969;505;1415;58;92;21;29;9;115
Wieringen;G0462;11277;Noord-Holland;P27;6536;2051;4;;2047;372;667;621;211;25;45;59;20;19;8;
Wieringermeer;G0463;10239;Noord-Holland;P27;8967;3501;17;;3484;1264;737;714;314;202;59;125;26;32;9;2
Wijchen;G0296;10723;Gelderland;P25;26797;8604;7;;8597;3575;1881;1319;1140;79;254;145;88;63;30;23
Wijhe;G0190;10888;Overijssel;P23;5634;2272;4;;2268;986;618;282;163;97;45;67;2;5;;3
Wijk bij Duurstede;G0352;10760;Utrecht;P26;12003;4251;5;;4246;1029;996;936;706;146;253;112;17;34;11;6
Willemstad;G0872;10827;Noord-Brabant;P30;2603;1073;0;;1073;349;206;284;99;48;16;46;13;7;4;1
Winschoten;G0052;10453;Groningen;P20;15154;5073;13;;5060;991;2204;743;406;208;208;185;59;25;10;21
Winsum;G0053;11135;Groningen;P20;9683;4715;7;;4708;1408;1291;569;378;507;204;317;30;3;;1
Winterswijk;G0294;11119;Gelderland;P25;21411;8693;9;;8684;2407;2707;1968;850;155;193;230;75;40;18;41
Wisch;G0295;10318;Gelderland;P25;15216;5113;13;;5100;2173;1124;904;531;111;102;86;23;24;8;14
Wissenkerke;G0727;10243;Zeeland;P29;2641;1141;1;;1140;431;197;210;108;141;17;22;8;4;2;
Wittem;G0990;11371;Limburg;P31;6188;2926;17;;2909;1531;511;294;343;23;110;38;23;23;9;4
Woensdrecht;G0873;10602;Noord-Brabant;P30;7943;2206;9;;2197;732;526;492;259;22;27;39;23;61;13;3
Woerden;G0632;10974;Utrecht;P26;26482;11102;19;;11083;3851;1657;1996;1266;1565;334;171;82;112;30;19
Wognum;G0466;10818;Noord-Holland;P27;5385;2124;2;;2122;1070;301;377;239;12;52;40;13;13;5;
Wormerland;G0880;10648;Noord-Holland;P27;11175;4100;10;;4090;1056;1157;773;538;121;268;100;33;31;10;3
Woudenberg;G0351;11398;Utrecht;P26;7664;3643;7;;3636;940;427;684;266;1151;60;59;20;22;5;2
Woudrichem;G0874;10282;Noord-Brabant;P30;10308;3889;6;;3883;1437;576;469;247;982;62;51;35;15;5;4
Wouw;G0875;10808;Noord-Brabant;P30;6525;1938;5;;1933;797;360;432;202;18;39;45;12;21;6;1
Wûnseradiel;G0710;10454;Fryslân;P21;8420;3361;8;;3353;1502;851;385;226;148;75;114;20;8;14;10
Wymbritseradiel;G0683;11427;Fryslân;P21;10836;4097;5;;4092;2174;684;486;301;172;84;159;7;12;4;9
Zaanstad;G0479;11044;Noord-Holland;P27;99660;30590;80;;30510;6110;9750;5501;4156;1096;2077;847;369;436;101;67
Zaltbommel;G0297;10557;Gelderland;P25;7613;2903;16;;2887;702;841;484;364;217;151;56;34;27;11;
Zandvoort;G0473;10910;Noord-Holland;P27;13055;4290;10;;4280;802;1049;1570;494;73;86;94;23;52;30;7
Zederik;G0707;10618;Zuid-Holland;P28;8764;5320;16;;5304;1816;861;643;272;1552;57;39;10;34;16;4
Zeevang;G0478;11121;Noord-Holland;P27;4568;1841;10;;1831;197;521;695;234;17;85;35;17;19;11;
Zeewolde;G0050;10012;Flevoland;P24;8241;3410;5;;3405;878;508;962;406;411;64;124;19;20;10;3
Zeist;G0355;10324;Utrecht;P26;45406;18131;38;;18093;4258;3302;4438;2317;2015;769;616;121;181;36;40
Zelhem;G0298;11159;Gelderland;P25;8839;3293;14;;3279;1306;795;561;273;238;35;34;12;17;1;7
Zevenaar;G0299;10938;Gelderland;P25;20729;7206;23;;7183;2518;1754;1224;1098;117;205;120;58;51;22;16
Zevenbergen;G0878;10046;Noord-Brabant;P30;12466;3900;13;;3887;1439;758;784;483;149;83;96;28;52;14;1
Zevenhuizen-Moerkapelle;G1666;11377;Zuid-Holland;P28;7475;3648;8;;3640;783;531;786;327;1080;33;38;15;29;17;1
Zierikzee;G0732;10843;Zeeland;P29;7914;2915;11;;2904;772;694;516;324;427;70;54;17;20;6;4
Zijpe;G0476;10004;Noord-Holland;P27;8435;3290;11;;3279;952;853;867;340;51;78;67;29;29;8;5
Zoetermeer;G0637;10766;Zuid-Holland;P28;75176;27011;49;;26962;5327;6097;6192;4593;1783;721;449;1319;276;160;45
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6329;2485;7;;2478;892;406;558;380;53;69;78;14;18;10;
Zuidhorn;G0056;10021;Groningen;P20;12598;6688;16;;6672;1939;1271;731;504;1688;155;327;30;16;11;
Zuidlaren;G0136;10002;Drenthe;P22;8568;3765;12;;3753;842;927;885;369;431;127;128;17;20;3;4
Zuidwolde;G0137;10262;Drenthe;P22;7453;3155;7;;3148;1094;632;745;248;254;57;83;9;14;8;4
Zundert;G0879;11192;Noord-Brabant;P30;10888;2961;16;;2945;1361;492;562;321;18;61;56;17;43;11;3
Zutphen;G0301;10254;Gelderland;P25;24168;9129;25;;9104;1957;2976;1376;1324;283;522;333;229;50;24;30
Zwartsluis;G0192;10303;Overijssel;P23;3343;1524;2;;1522;629;283;185;68;299;18;24;9;4;1;2
Zweeloo;G0138;10872;Drenthe;P22;2272;1162;1;;1161;278;379;306;96;44;22;28;2;2;3;1
Zwijndrecht;G0642;10468;Zuid-Holland;P28;32177;11383;19;;11364;2989;2182;2219;1439;1953;184;156;43;160;25;14
Zwolle;G0193;10093;Overijssel;P23;76470;29844;53;;29791;7879;7344;4194;3555;3980;1340;1050;207;158;35;49
