RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;Europa Transparant;SP (Socialistische Partij);CU_SGP;Democraten 66 (D66);Partij voor de Dieren;Lijst Pim Fortuyn;Partij voor het Noorden;Nieuw Rechts;Leefbaar Europa;Democratisch Europa;Respect.Nu
Naarden;G0425;10187;Noord-Holland;P27;12482;6479;;3;6476;1172;968;1813;555;639;241;136;432;306;137;3;17;8;41;8
Neder-Betuwe;G1740;10916;Gelderland;P25;15739;5852;;3;5849;1227;1415;623;165;252;183;1623;93;141;100;3;17;6;1;0
Nederlek;G0643;10050;Zuid-Holland;P28;11235;5191;;9;5182;798;1476;794;174;400;300;612;171;175;234;7;24;10;2;5
Nederweert;G0946;10681;Limburg;P31;12299;4447;;6;4441;2485;666;405;113;242;260;7;120;64;60;2;5;4;7;1
Neede;G0266;10367;Gelderland;P25;8583;3759;;4;3755;1121;1172;518;107;210;220;100;135;67;75;8;12;2;7;1
Neerijnen;G0304;10125;Gelderland;P25;8572;3675;;7;3668;929;867;542;141;196;114;542;94;96;117;2;17;7;2;2
Niedorp;G0412;10923;Noord-Holland;P27;8673;3129;;6;3123;602;900;532;164;320;209;15;117;111;119;9;5;12;5;3
Nieuwegein;G0356;10374;Utrecht;P26;47184;16852;;50;16802;3170;4538;2291;1474;1250;1314;580;859;656;505;8;73;52;18;14
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;16241;6582;;13;6569;1341;1198;1100;311;550;338;849;322;217;257;2;46;22;12;4
Nieuwkoop;G0569;10728;Zuid-Holland;P28;8266;3381;;6;3375;978;544;563;199;271;187;218;176;91;123;2;14;7;2;0
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;6596;3419;;1;3418;495;689;192;80;123;109;1525;41;64;71;4;11;6;7;1
Nijefurd;G0104;10768;Fryslân;P21;8357;3832;;3;3829;1416;854;384;209;280;209;113;79;84;62;119;9;1;7;3
Nijkerk;G0267;10446;Gelderland;P25;28222;12404;;25;12379;3935;1883;1412;528;761;429;2450;357;268;243;7;60;22;15;9
Nijmegen;G0268;11209;Gelderland;P25;121616;48755;;172;48583;8088;12874;3808;8547;3309;6193;483;2837;1421;745;29;96;51;66;36
Noord-Beveland;G1695;10250;Zeeland;P29;5657;2742;;5;2737;569;539;756;86;202;140;209;61;108;40;0;12;10;4;1
Noordenveld;G1699;10699;Drenthe;P22;24374;11452;;14;11438;1975;3821;1826;838;712;577;453;419;274;167;308;40;9;14;5
Noorder-Koggenland;G0529;10924;Noord-Holland;P27;7925;3239;;6;3233;649;714;630;242;258;190;142;142;141;99;2;10;10;1;3
Noordoostpolder;G0171;10144;Flevoland;P24;32573;14519;;24;14495;4796;2806;1935;555;828;605;1803;407;315;294;55;39;35;10;12
Noordwijk;G0575;10769;Zuid-Holland;P28;18702;7661;;11;7650;1914;1418;1550;453;736;459;159;312;270;261;7;54;28;16;13
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;11237;4758;;14;4744;1472;789;877;326;446;232;31;193;138;181;5;19;15;11;9
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;17497;7715;;29;7686;2035;1434;1455;551;873;459;54;455;184;140;4;17;5;15;5
Nunspeet;G0302;10512;Gelderland;P25;19395;9521;;10;9511;2597;874;883;174;367;271;3773;165;212;151;8;21;11;1;3
Nuth;G0951;10104;Limburg;P31;12762;5560;;10;5550;3103;966;302;251;324;251;17;102;109;105;0;9;3;3;5
Obdam;G0429;11338;Noord-Holland;P27;5017;1943;;8;1935;644;377;329;129;143;101;11;64;57;70;3;2;3;1;1
Oegstgeest;G0579;10287;Zuid-Holland;P28;15194;8608;;23;8585;1608;1503;1749;833;883;377;244;745;381;173;3;22;17;33;14
Oirschot;G0823;10225;Noord-Brabant;P30;13468;5137;;34;5103;2238;952;731;154;375;256;13;155;92;104;0;9;14;6;4
Oisterwijk;G0824;10103;Noord-Brabant;P30;19393;7669;;16;7653;2645;1383;1167;376;824;530;45;313;170;143;4;22;12;11;8
Oldebroek;G0269;11106;Gelderland;P25;16978;6598;;4;6594;1925;870;416;123;230;159;2561;103;74;89;3;27;2;8;4
Oldenzaal;G0173;11100;Overijssel;P23;23906;9152;;25;9127;3034;2452;1196;446;643;627;50;282;148;177;9;22;21;8;12
Olst-Wijhe;G1773;10409;Overijssel;P23;12790;5669;;6;5663;1775;1775;747;354;282;249;103;160;107;84;4;9;4;6;4
Ommen;G0175;11069;Overijssel;P23;12948;6437;;10;6427;2657;931;710;201;342;225;964;163;106;90;12;14;6;6;0
Onderbanken;G0881;10492;Limburg;P31;6420;2552;;6;2546;1363;475;155;91;131;177;11;41;52;29;0;8;8;1;4
Oosterhout;G0826;11280;Noord-Brabant;P30;40041;14238;;34;14204;3260;3174;2038;759;2192;1164;92;618;414;365;5;64;20;22;17
Oostflakkee;G0580;10714;Zuid-Holland;P28;7846;3285;;5;3280;780;822;301;90;213;145;627;64;113;91;0;25;2;4;3
Ooststellingwerf;G0085;10836;Fryslân;P21;20216;8701;;18;8683;2059;2948;1028;476;500;449;389;202;246;158;190;18;3;8;9
Oostzaan;G0431;11303;Noord-Holland;P27;6947;2658;;3;2655;318;849;418;214;194;166;61;125;150;132;2;12;3;8;3
Opmeer;G0432;10609;Noord-Holland;P27;8236;3123;;7;3116;1054;640;556;148;265;143;21;84;70;88;6;12;13;10;6
Opsterland;G0086;10005;Fryslân;P21;22116;9950;;12;9938;2123;3404;995;534;512;647;852;231;217;156;239;10;7;6;5
Oss;G0828;10834;Noord-Brabant;P30;57356;22696;;49;22647;6115;4405;2504;1068;1431;5164;104;788;459;418;18;68;41;50;14
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;17669;6748;;17;6731;1332;1325;893;343;579;399;1102;289;195;200;2;33;19;10;10
Ouder-Amstel;G0437;10998;Noord-Holland;P27;9847;4469;;8;4461;898;921;796;398;402;229;103;342;205;129;4;14;9;8;3
Ouderkerk;G0644;10095;Zuid-Holland;P28;6038;2783;;3;2780;539;544;323;93;151;104;765;64;70;106;3;7;8;2;1
Oudewater;G0589;10188;Utrecht;P26;7380;3132;;6;3126;1265;464;374;118;194;115;331;108;43;83;1;17;6;4;3
Overbetuwe;G1734;11188;Gelderland;P25;30754;11480;;13;11467;3450;2519;1460;838;789;656;647;504;289;233;6;36;25;15;0
Papendrecht;G0590;10427;Zuid-Holland;P28;23349;8817;;8;8809;1978;1934;1145;344;769;496;1063;315;316;360;6;44;15;10;14
Pekela;G0765;10848;Groningen;P20;10210;3670;;7;3663;603;1761;268;214;81;243;137;52;61;57;167;3;6;4;6
Pijnacker-Nootdorp;G1926;10031;Zuid-Holland;P28;27365;11503;;28;11475;3280;1859;1957;758;1066;491;528;656;328;421;8;42;41;27;13
Purmerend;G0439;11066;Noord-Holland;P27;56995;18673;;47;18626;2326;5843;2871;1342;1332;1781;261;879;970;797;18;70;66;40;30
Putten;G0273;11109;Gelderland;P25;17316;8198;;13;8185;3118;850;845;184;366;196;2069;158;192;170;1;14;11;5;6
Raalte;G0177;10279;Overijssel;P23;27586;11699;;23;11676;5557;2301;1216;530;613;499;239;309;168;177;16;22;11;14;4
Reeuwijk;G0595;10485;Zuid-Holland;P28;9564;4700;;4;4696;1280;547;959;175;361;116;767;200;134;104;4;25;15;5;4
Reiderland;G1661;11043;Groningen;P20;5522;1899;;5;1894;148;908;166;89;50;286;15;19;60;53;91;1;1;2;5
Reimerswaal;G0703;10077;Zeeland;P29;15071;7036;;3;7033;1322;970;658;142;356;269;2813;127;153;163;0;26;20;6;8
Renkum;G0274;11325;Gelderland;P25;24708;11867;;13;11854;2766;2482;1920;1147;1133;610;262;590;675;177;12;19;14;39;8
Renswoude;G0339;10269;Utrecht;P26;3052;1364;;3;1361;606;104;154;19;48;37;324;19;12;34;0;1;0;2;1
Reusel-De Mierden;G1667;10162;Noord-Brabant;P30;9324;3124;;13;3111;1404;590;362;93;244;170;9;93;45;73;4;8;10;4;2
Rheden;G0275;11355;Gelderland;P25;35156;15665;;30;15635;3278;4204;2248;1296;1228;1304;396;638;570;357;16;38;25;26;11
Rhenen;G0340;10309;Utrecht;P26;13499;5729;;4;5725;1297;1032;723;338;437;266;1091;195;155;143;6;27;8;6;1
Ridderkerk;G0597;10646;Zuid-Holland;P28;35517;13651;;20;13631;2720;3249;1327;457;931;714;2790;411;382;501;10;60;53;21;5
Rijnsburg;G0602;11118;Zuid-Holland;P28;10687;4530;;6;4524;2068;451;460;135;269;139;715;81;94;85;3;7;6;5;6
Rijnwaarden;G0196;10819;Gelderland;P25;8545;2700;;1;2699;833;857;289;138;142;169;18;84;72;72;1;11;2;5;6
Rijnwoude;G1672;11257;Zuid-Holland;P28;14360;6570;;16;6554;1818;1032;964;304;539;339;865;304;147;179;1;30;12;15;5
Rijssen-Holten;G1742;10358;Overijssel;P23;26310;14069;;24;14045;3685;1830;1103;251;572;363;5640;201;155;197;8;15;10;5;10
Rijswijk;G0603;11133;Zuid-Holland;P28;38040;15406;;41;15365;3233;3199;2566;1037;1593;879;287;823;826;724;21;65;50;46;16
Roerdalen;G1669;10196;Limburg;P31;7900;2974;;3;2971;1604;466;268;106;181;137;11;67;55;61;1;6;5;1;2
Roermond;G0957;11313;Limburg;P31;33868;10925;;11;10914;4394;2133;1184;651;793;729;64;332;311;231;6;33;16;24;13
Roggel en Neer;G1670;10505;Limburg;P31;6316;2420;;4;2416;1361;380;224;74;114;101;8;52;43;48;0;5;3;0;3
Roosendaal;G1674;10407;Noord-Brabant;P30;57858;18466;;50;18416;4856;3817;2528;922;2701;1409;158;644;492;657;11;112;53;37;19
Rotterdam;G0599;10345;Zuid-Holland;P28;429299;137721;;507;137214;18788;42543;15764;11216;9981;11705;4762;6371;5671;8333;113;1023;549;253;142
Rozenburg;G0600;11314;Zuid-Holland;P28;10065;3298;;5;3293;623;998;405;137;250;255;173;133;119;153;6;22;12;2;5
Rozendaal;G0277;10684;Gelderland;P25;1179;730;;4;726;154;97;228;51;74;31;8;35;35;10;1;0;0;2;0
Rucphen;G0840;11152;Noord-Brabant;P30;17965;4262;;12;4250;1340;1092;541;94;511;197;20;74;129;212;2;19;11;7;1
Ruurlo;G0278;10879;Gelderland;P25;6616;2708;;1;2707;842;629;561;108;217;133;28;82;49;43;0;3;3;7;2
Sassenheim;G0604;10612;Zuid-Holland;P28;11144;4838;;11;4827;1556;808;898;255;381;296;62;223;165;127;3;18;13;16;6
Schagen;G0441;10511;Noord-Holland;P27;13978;5234;;4;5230;856;1462;954;356;594;379;52;217;172;136;7;17;11;8;9
Scheemda;G0039;10711;Groningen;P20;11057;4677;;5;4672;968;1881;398;237;185;305;224;79;102;88;189;6;5;0;5
Schermer;G0458;10308;Noord-Holland;P27;3646;1711;;5;1706;470;369;322;109;157;82;12;58;63;51;0;2;5;4;2
Scherpenzeel;G0279;11146;Gelderland;P25;6578;3142;;1;3141;918;382;386;85;155;73;897;108;47;71;3;8;5;2;1
Schiedam;G0606;11260;Zuid-Holland;P28;55384;18441;;29;18412;3173;5534;1982;1266;1456;1845;461;694;728;941;24;184;69;30;25
Schiermonnikoog;G0088;10355;Fryslân;P21;806;487;;0;487;117;123;76;43;30;25;17;19;11;6;19;0;0;0;1
Schijndel;G0844;11178;Noord-Brabant;P30;17424;6039;;15;6024;2023;1391;686;237;435;735;16;195;155;111;3;12;10;11;4
Schinnen;G0962;10132;Limburg;P31;10423;4517;;5;4512;2371;837;275;229;269;246;27;91;87;50;2;19;0;2;7
Schoonhoven;G0608;10980;Zuid-Holland;P28;9170;4111;;7;4104;893;902;602;256;290;234;405;180;193;106;1;25;8;4;5
Schouwen-Duiveland;G1676;10843;Zeeland;P29;26672;12539;;32;12507;2637;2374;2206;501;978;541;1906;346;510;409;7;44;25;17;6
Sevenum;G0964;10045;Limburg;P31;5561;2171;;8;2163;1274;267;173;81;109;135;12;54;29;14;0;7;3;2;3
's-Gravendeel;G0517;10052;Zuid-Holland;P28;6955;2783;;3;2780;705;685;331;83;171;143;413;71;71;82;1;18;4;1;1
's-Gravenhage;G0518;11434;Zuid-Holland;P28;335428;113380;;410;112970;18021;28154;19284;10254;8357;7306;2562;7334;6096;4225;102;467;267;424;117
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;101713;36371;;92;36279;7923;8369;4678;3574;3264;3955;284;1887;1094;893;39;122;70;93;34
Simpelveld;G0965;10515;Limburg;P31;8726;3251;;1;3250;1699;721;192;115;178;136;13;56;75;45;1;1;3;3;12
Sint Anthonis;G1702;11415;Noord-Brabant;P30;8632;4235;;23;4212;2317;614;364;135;308;235;11;101;49;50;2;14;5;3;4
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;21162;7855;;16;7839;2672;1647;1022;319;779;685;28;301;187;137;6;24;9;17;6
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;12784;5013;;7;5006;2138;933;587;204;377;426;19;137;76;67;4;6;15;13;4
Sittard-Geleen;G1883;11230;Limburg;P31;75022;26313;;49;26264;11975;5414;2033;1611;1709;1590;114;629;678;349;14;61;34;24;29
Skarsterlân;G0051;10022;Fryslân;P21;20370;8534;;11;8523;2713;2564;911;389;526;393;255;209;176;143;210;10;13;7;4
Sliedrecht;G0610;11331;Zuid-Holland;P28;17920;7418;;9;7409;1404;1607;641;201;425;395;2242;124;157;171;3;27;9;1;2
Slochteren;G0040;10747;Groningen;P20;11376;4905;;11;4894;948;1409;569;237;203;263;702;136;129;80;202;3;4;2;7
Sluis;G1714;10895;Zeeland;P29;18536;7205;;10;7195;1779;1635;1327;322;716;341;185;408;270;148;5;23;14;9;13
Smallingerland;G0090;10405;Fryslân;P21;40914;17965;;18;17947;4931;5749;1305;873;926;1098;1636;412;324;226;398;31;18;8;12
