RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;SGP_GPV_RPF;Democraten 66 (D66);SP (Socialistische Partij);De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala
Aa en Hunze;G1680;10787;Drenthe;P22;19266;6659;;9;6650;995;2236;1889;724;150;353;200;55;16;14;18
Aalburg;G0738;11084;Noord-Brabant;P30;8428;3173;;13;3160;813;248;360;76;1510;52;64;17;11;5;4
Aalsmeer;G0358;11264;Noord-Holland;P27;17321;5142;;15;5127;1318;920;1475;458;397;325;132;33;23;25;21
Aalten;G0197;11046;Gelderland;P25;13872;5634;;23;5611;3122;779;556;418;393;147;145;20;15;12;4
Abcoude;G0305;10712;Utrecht;P26;6275;2726;;23;2703;606;428;805;330;135;257;74;8;6;18;36
Achtkarspelen;G0059;10199;Fryslân;P21;21138;7465;;29;7436;3298;1557;573;444;1151;102;245;24;32;5;5
Akersloot;G0360;10346;Noord-Holland;P27;3629;993;;6;987;264;187;266;107;30;66;36;8;7;11;5
Alblasserdam;G0482;11327;Zuid-Holland;P28;13259;4271;;6;4265;816;1053;508;229;1349;124;137;23;16;6;4
Albrandswaard;G0613;10124;Zuid-Holland;P28;12204;3616;;12;3604;937;656;975;300;298;218;139;37;16;18;10
Alkemade;G0483;10349;Zuid-Holland;P28;10755;3149;;9;3140;1146;395;977;301;35;117;123;13;17;5;11
Alkmaar;G0361;10527;Noord-Holland;P27;68931;18122;;60;18062;3174;4700;3267;3290;444;1118;1724;140;95;60;50
Almelo;G0141;11053;Overijssel;P23;48823;12516;;52;12464;3606;3311;2162;1361;623;571;679;70;39;26;16
Almere;G0034;10018;Flevoland;P24;94600;22587;;111;22476;2487;5832;6215;3537;803;1819;1135;248;129;127;144
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;51342;14756;;47;14709;3320;2531;3522;1641;1537;963;861;107;90;81;56
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7122;2340;;7;2333;1126;301;530;184;10;82;71;9;16;2;2
Ambt Delden;G0142;11400;Overijssel;P23;4012;1653;;11;1642;1140;106;258;50;6;33;26;6;5;12;0
Ambt Montfort;G1679;10456;Limburg;P31;8656;2675;;30;2645;1577;353;298;196;9;68;93;16;16;18;1
Ameland;G0060;11153;Fryslân;P21;2657;1249;;2;1247;471;330;245;88;24;40;34;6;2;2;5
Amerongen;G0306;11372;Utrecht;P26;5488;1969;;5;1964;507;221;451;145;436;119;58;17;3;3;4
Amersfoort;G0307;10948;Utrecht;P26;91160;29691;;105;29586;5789;5484;5909;4868;3801;2038;1326;146;77;73;75
Amstelveen;G0362;10799;Noord-Holland;P27;58837;20732;;0;20732;3534;4185;6479;3046;570;1778;630;176;107;121;106
Amsterdam;G0363;11150;Noord-Holland;P27;527116;133272;;1398;131874;11957;35921;22886;32469;2021;11938;9431;952;946;684;2669
Andijk;G0364;10822;Noord-Holland;P27;4694;1412;;2;1410;439;243;260;114;236;36;60;9;8;3;2
Angerlo;G0199;11131;Gelderland;P25;3709;1131;;3;1128;442;243;206;100;9;54;54;12;2;6;0
Anna Paulowna;G0366;10344;Noord-Holland;P27;10181;2703;;14;2689;737;516;854;216;83;142;72;27;12;22;8
Apeldoorn;G0200;11075;Gelderland;P25;117410;37232;;84;37148;8988;7937;8073;4188;4100;2024;1281;212;155;108;82
Appingedam;G0003;10886;Groningen;P20;9692;2597;;5;2592;720;873;364;163;169;103;146;30;8;8;8
Arcen en Velden;G0885;10202;Limburg;P31;6739;2307;;16;2291;1353;290;320;154;18;76;52;15;8;5;0
Arnhem;G0202;10795;Gelderland;P25;105427;29567;;207;29360;5560;7080;5375;5547;1062;2041;2202;187;156;84;66
Assen;G0106;10522;Drenthe;P22;43067;15010;;40;14970;2901;4142;2349;1724;2119;812;699;123;55;21;25
Asten;G0743;10478;Noord-Brabant;P30;11749;4298;;18;4280;1641;495;1394;369;15;162;162;19;15;3;5
Avereest;G0143;11190;Overijssel;P23;11463;4098;;12;4086;1656;789;695;214;472;110;109;13;12;11;5
Axel;G0650;11289;Zeeland;P29;8995;2589;;18;2571;665;434;344;151;518;349;61;12;18;16;3
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4627;1524;;6;1518;854;177;238;102;11;76;38;6;11;1;4
Baarn;G0308;11411;Utrecht;P26;18501;6886;;16;6870;1427;1056;2024;877;622;473;269;46;29;23;24
Barendrecht;G0489;10943;Zuid-Holland;P28;20007;6530;;14;6516;1624;946;1362;610;1333;340;208;26;31;26;10
Barneveld;G0203;10906;Gelderland;P25;33164;13022;;10;13012;3658;890;1804;530;5567;261;178;49;44;16;15
Bathmen;G0144;11030;Overijssel;P23;4031;1603;;5;1598;372;371;522;169;25;86;34;6;6;3;4
Bedum;G0005;10425;Groningen;P20;7934;3616;;17;3599;1273;668;342;266;792;138;84;21;6;7;2
Beek;G0888;11374;Limburg;P31;13201;3991;;22;3969;1882;548;663;455;17;174;160;19;18;24;9
Beemster;G0370;10816;Noord-Holland;P27;6379;2078;;9;2069;371;507;701;217;32;112;83;26;5;4;11
Beesel;G0889;10195;Limburg;P31;9881;2653;;12;2641;1427;400;352;226;16;76;79;8;45;6;6
Belfeld;G0890;10292;Limburg;P31;4085;1035;;4;1031;561;158;164;76;1;28;28;4;11;0;0
Bellingwedde;G0007;10340;Groningen;P20;7505;2481;;23;2458;421;987;465;237;76;85;144;15;22;2;4
Bemmel;G0206;10744;Gelderland;P25;13429;3437;;15;3422;1332;744;624;319;30;225;115;9;14;5;5
Bennebroek;G0372;10734;Noord-Holland;P27;4029;1709;;10;1699;506;217;593;179;47;106;30;5;2;10;4
Bergambacht;G0491;10962;Zuid-Holland;P28;6865;2864;;4;2860;458;616;575;154;867;110;49;15;8;2;6
Bergeijk;G1724;11160;Noord-Brabant;P30;13481;3897;;10;3887;1874;566;706;299;35;215;128;18;23;11;12
Bergen;G0893;11281;Limburg;P31;10066;2642;;17;2625;1502;410;344;177;6;72;78;12;9;12;3
Bergen;G0373;11424;Noord-Holland;P27;10730;4171;;33;4138;743;815;1391;604;48;345;112;35;18;13;14
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;47960;11800;;33;11767;3248;2141;2776;1385;167;1120;650;102;116;36;26
Bergh;G0207;10350;Gelderland;P25;14161;3719;;6;3713;1768;671;678;258;43;148;91;12;26;13;5
Bergschenhoek;G0492;10445;Zuid-Holland;P28;8566;2720;;11;2709;758;375;752;220;328;126;88;27;20;13;2
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;12253;4282;;19;4263;1399;450;912;404;729;210;92;21;25;16;5
Bernheze;G1721;10149;Noord-Brabant;P30;21267;6100;;17;6083;3033;821;841;404;31;223;646;28;27;23;6
Bernisse;G0568;10316;Zuid-Holland;P28;9814;2576;;8;2568;672;558;669;186;193;148;80;25;14;13;10
Best;G0753;10442;Noord-Brabant;P30;18915;5378;;27;5351;1831;910;1197;557;155;318;276;44;35;15;13
Beuningen;G0209;10417;Gelderland;P25;18441;4801;;22;4779;1478;1028;950;638;56;288;270;23;20;14;14
Beverwijk;G0375;10272;Noord-Holland;P27;27476;6740;;26;6714;1585;1904;1236;928;134;329;341;70;69;77;41
Binnenmaas;G0585;10222;Zuid-Holland;P28;14844;4954;;13;4941;1006;959;1284;447;740;243;166;33;39;21;3
Bladel;G1728;11006;Noord-Brabant;P30;14413;4256;;26;4230;2035;610;733;348;21;235;213;19;7;5;4
Blaricum;G0376;10493;Noord-Holland;P27;7476;2819;;10;2809;430;440;1158;343;67;232;84;15;9;21;10
Bleiswijk;G0495;10994;Zuid-Holland;P28;7100;2485;;13;2472;741;296;695;199;316;136;46;23;9;9;2
Bloemendaal;G0377;10850;Noord-Holland;P27;12876;5845;;12;5833;1065;719;2658;580;133;484;105;28;15;29;17
Boarnsterhim;G0055;10815;Fryslân;P21;13837;5038;;13;5025;978;1793;1125;549;88;204;229;34;10;10;5
Bodegraven;G0497;11091;Zuid-Holland;P28;14052;4606;;16;4590;1413;589;830;330;1050;215;84;34;14;21;10
Boekel;G0755;10432;Noord-Brabant;P30;6897;2211;;10;2201;1296;284;255;142;10;75;113;9;6;8;3
Bolsward;G0064;10865;Fryslân;P21;7177;2231;;6;2225;980;438;263;238;91;48;127;20;4;8;8
Borculo;G0211;11307;Gelderland;P25;7896;3077;;5;3072;842;858;865;210;49;111;106;8;7;7;9
Borger-Odoorn;G1681;10448;Drenthe;P22;20267;6462;;19;6443;1521;2180;1404;476;313;264;207;37;22;8;11
Born;G0897;10927;Limburg;P31;11139;3477;;9;3468;1914;543;382;301;15;119;111;12;23;39;9
Borne;G0147;10326;Overijssel;P23;16845;5272;;17;5255;2234;1028;881;499;99;217;245;20;15;10;7
Borsele;G0654;10043;Zeeland;P29;16075;5105;;11;5094;1351;652;695;355;1518;268;167;16;30;33;9
Boskoop;G0499;10419;Zuid-Holland;P28;11085;3859;;16;3843;1134;414;954;399;549;171;124;36;27;24;11
Boxmeer;G0756;11227;Noord-Brabant;P30;21424;7227;;40;7187;3238;1083;1060;548;48;260;874;32;23;12;9
Boxtel;G0757;10083;Noord-Brabant;P30;22056;6087;;34;6053;2162;1054;904;876;72;346;555;28;30;15;11
Breda;G0758;10154;Noord-Brabant;P30;122506;31252;;120;31132;8397;6053;7180;4294;458;2207;2032;192;159;91;69
Brederwiede;G0194;11088;Overijssel;P23;9464;6218;;110;6108;2196;1365;1000;305;826;223;117;30;19;12;15
Breukelen;G0311;10807;Utrecht;P26;10704;4101;;21;4080;1051;497;914;445;752;260;102;19;7;14;19
Briefstemmen;G9999;;Niet-provinciaal ingedeeld;P99;14501;11688;334;;11354;1574;1756;4769;1376;349;1048;201;114;83;72;
Brielle;G0501;10232;Zuid-Holland;P28;12239;3326;;9;3317;649;749;1008;363;112;213;152;29;12;19;11
Broekhuizen;G0898;10856;Limburg;P31;1442;479;;4;475;294;54;64;30;2;11;16;0;3;1;0
Brummen;G0213;10798;Gelderland;P25;16347;5268;;25;5243;1091;1613;1301;522;145;276;200;57;17;15;6
Brunssum;G0899;10533;Limburg;P31;23872;5706;;30;5676;2212;1047;548;424;107;161;1039;15;95;17;11
Bunnik;G0312;10820;Utrecht;P26;10549;4517;;13;4504;1245;655;1060;805;212;299;167;19;18;13;11
Bunschoten;G0313;11343;Utrecht;P26;13479;4814;;5;4809;1101;213;333;128;2904;51;41;4;17;10;7
Buren;G0214;11286;Gelderland;P25;18861;5918;;26;5892;1117;1429;1750;457;607;279;177;26;34;9;7
Bussum;G0381;10281;Noord-Holland;P27;23917;8448;;31;8417;1567;1512;2732;1121;353;721;257;52;35;45;22
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;48211;13062;;54;13008;1842;2772;2952;1204;2538;897;544;102;67;66;24
Castricum;G0383;11287;Noord-Holland;P27;17757;6537;;20;6517;1270;1426;1612;1225;100;512;234;56;23;37;22
Coevorden;G0109;10383;Drenthe;P22;26715;9188;;9;9179;2693;2672;2057;679;319;343;303;42;28;21;22
Cranendonck;G1706;10219;Noord-Brabant;P30;15367;3809;;15;3794;1672;608;773;309;36;144;182;25;27;10;8
Cromstrijen;G0611;11346;Zuid-Holland;P28;9901;2776;;5;2771;562;630;553;253;437;155;110;20;28;16;7
Cuijk;G1684;10023;Noord-Brabant;P30;17737;4849;;17;4832;1881;956;816;569;18;233;285;34;15;12;13
Culemborg;G0216;10342;Gelderland;P25;17690;5335;;0;5335;1052;1131;1127;800;241;353;541;26;41;16;7
Dalfsen;G0148;11007;Overijssel;P23;12946;5553;;4;5549;2555;641;757;274;1009;154;115;28;11;4;1
Dantumadeel;G0065;10650;Fryslân;P21;14752;4835;;9;4826;1939;860;388;297;1074;84;141;18;16;6;3
De Bilt;G0310;10168;Utrecht;P26;25510;10502;;22;10480;1791;1661;3356;1489;659;973;435;34;18;35;29
De Lier;G0552;10241;Zuid-Holland;P28;8155;2538;;22;2516;1285;203;582;115;186;73;41;11;8;6;6
De Marne;G1663;10180;Groningen;P20;8356;3281;;6;3275;908;792;456;304;543;100;128;20;11;5;8
De Ronde Venen;G0736;11379;Utrecht;P26;25193;8001;;15;7986;2291;1025;2275;667;915;468;187;60;33;46;19
De Wolden;G1690;10262;Drenthe;P22;17869;7014;;14;7000;1957;1574;1960;550;377;326;184;34;16;14;8
Delft;G0503;10928;Zuid-Holland;P28;72212;22595;;308;22287;3882;5069;4321;4283;1225;1980;1160;151;84;59;73
Delfzijl;G0010;10976;Groningen;P20;22534;5923;;16;5907;1596;1890;902;344;478;226;363;65;28;10;5
Den Ham;G0159;10395;Overijssel;P23;11228;3825;;7;3818;1983;474;273;140;803;50;68;11;10;4;2
Den Helder;G0400;10285;Noord-Holland;P27;45510;9677;;28;9649;1909;2211;2651;895;769;488;422;82;70;115;37
Denekamp;G0149;10245;Overijssel;P23;9387;3411;;14;3397;2273;424;364;142;22;71;75;15;9;0;2
Deurne;G0762;10379;Noord-Brabant;P30;23825;6209;;18;6191;2738;837;1320;581;55;256;312;24;40;14;14
Deventer;G0150;10899;Overijssel;P23;62578;18803;;48;18755;3958;5085;3746;3004;672;1152;874;109;77;33;45
Didam;G0218;10153;Gelderland;P25;12725;3357;;11;3346;1646;612;456;283;27;131;151;13;15;7;5
Diemen;G0384;11039;Noord-Holland;P27;17796;5119;;39;5080;704;1220;1331;852;103;427;251;45;28;28;91
Diepenheim;G0151;10311;Overijssel;P23;2184;859;;7;852;191;253;213;94;11;36;36;5;1;10;2
Dinxperlo;G0219;11154;Gelderland;P25;6285;1963;;7;1956;1022;345;309;110;76;38;36;8;5;6;1
Dirksland;G0504;11344;Zuid-Holland;P28;6072;2257;;7;2250;461;332;258;69;992;56;61;6;7;3;5
Dodewaard;G0220;10647;Gelderland;P25;3265;950;;4;946;220;219;161;81;198;27;34;2;2;0;2
Doesburg;G0221;10327;Gelderland;P25;8564;2765;;16;2749;594;699;453;301;102;183;389;12;10;3;3
Doetinchem;G0222;10396;Gelderland;P25;35174;11293;;33;11260;3240;2650;1963;1489;608;564;594;55;46;25;26
Dongen;G0766;11412;Noord-Brabant;P30;18795;5270;;8;5262;1786;929;902;472;107;309;695;30;18;7;7
Dongeradeel;G0058;10198;Fryslân;P21;18110;6669;;14;6655;3566;920;614;445;632;152;256;40;19;5;6
Doorn;G0315;10213;Utrecht;P26;8037;3039;;3;3036;618;382;1029;354;279;247;78;23;7;17;2
Dordrecht;G0505;11157;Zuid-Holland;P28;88279;22623;;58;22565;4630;5357;4083;2851;2722;1327;1123;122;252;55;43
Drechterland;G0498;10642;Noord-Holland;P27;7224;1888;;14;1874;578;411;443;224;31;88;63;19;10;4;3
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;13948;5689;;12;5677;1187;803;1436;953;627;429;164;21;19;27;11
Drimmelen;G1719;10258;Noord-Brabant;P30;20375;5148;;5;5143;1839;1050;1102;398;63;328;225;87;21;16;14
Dronten;G0303;10210;Flevoland;P24;24655;8610;;13;8597;2498;1186;2544;683;1016;355;185;42;33;28;27
Druten;G0225;10068;Gelderland;P25;12192;3210;;8;3202;1150;791;573;308;23;161;157;15;18;4;2
Duiven;G0226;11028;Gelderland;P25;17832;5021;;19;5002;1537;1133;1054;623;126;292;177;26;12;15;7
Echt;G0902;10941;Limburg;P31;14729;4495;;12;4483;2873;480;397;371;29;97;173;12;25;19;7
Echteld;G0227;10832;Gelderland;P25;5086;1740;;0;1740;263;438;376;54;514;37;36;3;7;7;5
Edam-Volendam;G0385;10884;Noord-Holland;P27;20687;3944;;5;3939;1400;709;910;457;68;166;105;50;23;26;25
Ede;G0228;10743;Gelderland;P25;73827;29249;;106;29143;6853;3580;5467;2687;8316;1156;669;157;131;82;45
Eemnes;G0317;10248;Utrecht;P26;6181;2093;;11;2082;475;353;600;282;144;135;59;3;7;9;15
Eemsmond;G1651;10246;Groningen;P20;12482;5288;;20;5268;1562;1343;680;442;879;117;163;39;24;8;11
Eersel;G0770;10741;Noord-Brabant;P30;13402;4428;;12;4416;2083;532;774;376;28;408;181;10;13;9;2
Egmond;G0357;10421;Noord-Holland;P27;8823;2440;;12;2428;622;537;640;296;35;154;86;17;14;16;11
Eibergen;G0229;10436;Gelderland;P25;12576;4786;;15;4771;2327;1022;613;379;59;134;194;18;16;7;2
Eijsden;G0905;10314;Limburg;P31;9216;2763;;8;2755;1462;419;360;258;7;119;79;7;6;28;10
Eindhoven;G0772;11298;Noord-Brabant;P30;154327;41885;;183;41702;11294;8205;8120;6325;849;2727;3393;292;234;183;80
Elburg;G0230;11113;Gelderland;P25;15950;6123;;7;6116;1508;539;819;267;2767;88;83;21;8;12;4
Elst;G0231;11188;Gelderland;P25;12666;3489;;9;3480;1080;694;679;429;91;320;144;25;11;6;1
Emmen;G0114;11180;Drenthe;P22;81931;21570;;47;21523;6935;6519;2885;1754;991;993;1154;134;75;43;40
Enkhuizen;G0388;10729;Noord-Holland;P27;12606;3325;;24;3301;672;818;572;459;299;177;248;23;13;14;6
Enschede;G0153;10364;Overijssel;P23;112335;28805;;234;28571;6254;7780;5269;3673;2202;1571;1441;130;134;67;50
Epe;G0232;10940;Gelderland;P25;25882;9378;;22;9356;2325;2109;2200;673;1290;427;199;38;56;23;16
Ermelo;G0233;10732;Gelderland;P25;19824;7987;;14;7973;2513;616;1438;752;2054;242;258;44;22;20;14
Etten-Leur;G0777;10750;Noord-Brabant;P30;27325;6659;;19;6640;2128;1445;1421;736;117;391;254;75;37;28;8
Ferwerderadiel;G1722;11284;Fryslân;P21;6573;2344;;7;2337;1215;358;263;135;214;37;91;14;5;4;1
Franekeradeel;G0070;10404;Fryslân;P21;15285;5174;;25;5149;2029;1297;739;416;261;127;223;30;8;13;6
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;7500;2994;;4;2990;1427;412;435;262;249;79;95;14;5;10;2
Geertruidenberg;G0779;10101;Noord-Brabant;P30;16316;3720;;8;3712;1405;756;789;312;67;179;136;29;17;8;14
Geldermalsen;G0236;10881;Gelderland;P25;17990;6203;;40;6163;1384;1221;1451;527;1006;295;178;35;45;8;13
Geldrop;G0781;10529;Noord-Brabant;P30;21074;5825;;25;5800;1935;994;1113;752;112;405;346;60;41;31;11
Geleen;G0906;10048;Limburg;P31;26262;6984;;29;6955;2952;1083;881;1371;39;219;298;26;44;31;11
Gemert-Bakel;G1652;10277;Noord-Brabant;P30;20515;5272;;20;5252;2380;786;900;541;24;163;368;35;33;12;10
Gendringen;G0237;10260;Gelderland;P25;15670;4456;;17;4439;2423;787;566;307;40;126;113;19;32;19;7
Gendt;G0238;10440;Gelderland;P25;5579;1341;;10;1331;590;333;203;83;3;64;34;12;5;3;1
Genemuiden;G0154;10746;Overijssel;P23;6012;2428;;6;2422;439;217;152;37;1532;18;17;3;5;0;2
Gennep;G0907;10542;Limburg;P31;12789;3277;;11;3266;1476;579;478;292;18;203;179;14;12;13;2
Giessenlanden;G0689;10255;Zuid-Holland;P28;10617;4572;;12;4560;1172;818;980;242;1074;134;84;21;20;9;6
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;17987;4910;;13;4897;1800;999;918;431;32;257;340;40;42;21;17
Goedereede;G0511;10981;Zuid-Holland;P28;8542;3926;;12;3914;1123;382;420;81;1749;66;61;6;12;9;5
Goes;G0664;10674;Zeeland;P29;27355;7977;;22;7955;1786;1349;1280;866;1704;511;314;35;44;56;10
Goirle;G0785;10971;Noord-Brabant;P30;16861;4541;;9;4532;1430;841;906;629;30;269;378;34;10;2;3
Goor;G0156;10076;Overijssel;P23;9543;3140;;13;3127;871;932;635;242;85;141;186;12;11;5;7
Gorinchem;G0512;10942;Zuid-Holland;P28;24164;6485;;25;6460;1135;1539;1458;749;829;377;282;30;35;13;13
Gorssel;G0239;10085;Gelderland;P25;10620;4300;;20;4280;1176;842;1338;452;94;240;100;11;10;8;9
Gouda;G0513;10302;Zuid-Holland;P28;51685;16704;;107;16597;2726;3448;3088;2422;2531;1135;939;136;101;51;20
Graafstroom;G0693;10451;Zuid-Holland;P28;6714;3437;;11;3426;1031;329;391;124;1432;51;41;9;14;3;1
Graft-De Rijp;G0365;11417;Noord-Holland;P27;4780;1521;;4;1517;337;363;473;174;11;71;60;5;13;5;5
Gramsbergen;G0157;11339;Overijssel;P23;4909;1975;;5;1970;942;473;197;78;196;31;43;5;1;3;1
Grave;G0786;10165;Noord-Brabant;P30;9574;2670;;8;2662;961;488;536;281;27;130;196;24;8;10;1
Groenlo;G0240;11094;Gelderland;P25;7026;2145;;5;2140;1157;392;323;129;8;52;56;13;5;5;0
Groesbeek;G0241;10616;Gelderland;P25;15003;4426;;19;4407;1613;1047;597;647;37;172;235;24;19;11;5
Groningen;G0014;10426;Groningen;P20;140751;46262;;273;45989;5969;12341;6668;9489;3568;3446;3693;583;108;66;58
Grootegast;G0015;11080;Groningen;P20;8676;3123;;8;3115;1509;368;283;152;616;76;70;20;10;4;7
Grubbenvorst;G0912;10176;Limburg;P31;5126;1364;;3;1361;740;150;259;94;5;58;39;6;5;2;3
Gulpen-Wittem;G1729;11032;Limburg;P31;11940;4193;;11;4182;2339;574;433;429;26;125;182;16;29;28;1
Haaksbergen;G0158;11435;Overijssel;P23;18162;6273;;19;6254;3496;982;916;359;60;192;185;30;19;12;3
Haaren;G0788;11155;Noord-Brabant;P30;10472;3093;;11;3082;1436;423;596;307;19;151;115;18;9;2;6
Haarlem;G0392;10357;Noord-Holland;P27;114906;31188;;150;31038;5237;8017;6561;5818;1017;2261;1530;249;99;156;93
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;3911;1229;;2;1227;341;228;277;199;30;80;38;16;10;4;4
Haarlemmermeer;G0394;11387;Noord-Holland;P27;81077;20964;;84;20880;4553;3751;6355;2513;1397;1275;577;171;79;115;94
Haelen;G0914;10321;Limburg;P31;7617;2340;;21;2319;1250;278;340;198;25;87;91;10;13;18;9
Halderberge;G1655;10397;Noord-Brabant;P30;22600;5577;;14;5563;2113;982;1259;447;58;370;190;56;52;28;8
Hardenberg;G0160;10174;Overijssel;P23;25518;11418;;27;11391;4505;1661;1007;458;3233;187;248;34;37;13;8
Harderwijk;G0243;10786;Gelderland;P25;28762;9520;;12;9508;2932;1227;1620;815;2028;390;316;123;37;14;6
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;12980;5152;;8;5144;850;662;410;144;2894;75;76;10;17;6;0
Haren;G0017;11058;Groningen;P20;14493;6790;;22;6768;1384;1218;1949;868;586;527;138;62;18;14;4
Harenkarspel;G0395;10963;Noord-Holland;P27;10970;2883;;22;2861;890;525;732;330;55;169;104;32;9;4;11
Harlingen;G0072;10909;Fryslân;P21;11571;3670;;25;3645;923;1051;618;384;263;165;193;22;9;8;9
Harmelen;G0318;10183;Utrecht;P26;5996;1754;;6;1748;597;257;403;172;131;101;53;18;5;8;3
Hasselt;G0161;10115;Overijssel;P23;5326;2363;;5;2358;527;354;239;106;1047;41;38;5;0;1;0
Hattem;G0244;10673;Gelderland;P25;8864;3711;;5;3706;961;702;562;179;1061;144;73;13;4;1;6
Heel;G1937;11208;Limburg;P31;6424;1751;;11;1740;966;210;307;110;3;83;46;7;4;3;1
Heemskerk;G0396;10679;Noord-Holland;P27;26549;6761;;10;6751;1760;1711;1235;981;187;410;293;52;32;47;43
Heemstede;G0397;11288;Noord-Holland;P27;19854;8320;;25;8295;1713;1160;3164;1090;194;649;206;50;20;28;21
Heerde;G0246;10291;Gelderland;P25;13903;5781;;23;5758;1800;1174;836;267;1372;144;96;23;29;9;8
Heerenveen;G0074;10680;Fryslân;P21;31187;10406;;47;10359;2355;3265;1986;1142;499;475;452;116;39;14;16
Heerhugowaard;G0398;10752;Noord-Holland;P27;32036;7622;;18;7604;1783;1748;1818;979;220;511;356;104;29;33;23
Heerjansdam;G0526;10540;Zuid-Holland;P28;2724;830;;3;827;202;169;202;85;69;57;25;4;6;6;2
Heerlen;G0917;10902;Limburg;P31;73121;17267;;48;17219;5897;2860;1779;1722;210;681;3701;76;140;115;38
Heeze-Leende;G1658;10462;Noord-Brabant;P30;11741;4000;;24;3976;1688;543;941;373;22;240;116;21;9;17;6
Heiloo;G0399;10793;Noord-Holland;P27;16960;5889;;8;5881;1360;1192;1752;764;105;435;186;33;18;27;9
Heino;G0162;10854;Overijssel;P23;5856;2409;;8;2401;1088;370;343;226;197;94;54;12;5;12;0
Helden;G0918;10205;Limburg;P31;14318;4038;;18;4020;2426;429;549;279;22;112;151;15;30;7;0
Hellendoorn;G0163;10806;Overijssel;P23;27218;9626;;21;9605;5092;1364;1014;533;969;239;284;40;21;32;17
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;27999;5916;;23;5893;784;1527;1646;769;240;387;372;56;47;51;14
Helmond;G0794;10932;Noord-Brabant;P30;58448;14003;;53;13950;3810;2807;3246;1424;168;637;1590;67;131;42;28
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;15387;5186;;20;5166;1055;813;945;298;1666;202;123;24;18;15;7
Hengelo;G0164;10907;Overijssel;P23;60094;18183;;67;18116;5293;4028;2570;2453;821;965;1741;79;61;58;47
Hengelo;G0248;10359;Gelderland;P25;6525;2066;;5;2061;945;408;403;111;46;77;29;18;19;4;1
Het Bildt;G0063;10128;Fryslân;P21;7675;2760;;11;2749;1212;635;369;234;98;53;118;21;7;0;2
Heteren;G0251;10290;Gelderland;P25;6622;2095;;7;2088;759;398;328;201;236;98;45;6;11;2;4
Heumen;G0252;10600;Gelderland;P25;11904;4148;;13;4135;1440;730;842;574;34;273;187;23;22;7;3
Heusden;G0797;10307;Noord-Brabant;P30;31458;8518;;33;8485;3129;1470;1835;766;114;511;470;82;66;27;15
Heythuysen;G0920;10840;Limburg;P31;9028;2795;;16;2779;1727;257;371;189;12;79;92;16;16;7;13
