RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;SGP_GPV_RPF;Democraten 66 (D66);SP (Socialistische Partij);De Europese Partij;Conservatieve Democraten;Europees Verkiezers Platform Nederland;Lijst Sala
Menaldumadeel;G0083;11144;Fryslân;P21;10366;3740;;22;3718;1240;1065;620;370;107;120;148;34;9;3;2
Menterwolde;G1987;11282;Groningen;P20;9659;2783;;8;2775;429;1145;381;253;141;87;282;29;18;3;7
Meppel;G0119;11204;Drenthe;P22;22448;7892;;33;7859;1797;2166;1485;713;773;387;447;49;16;13;13
Middelburg;G0687;10122;Zeeland;P29;33624;11330;;26;11304;2241;1900;1469;1433;2798;717;589;34;53;52;18
Middelharnis;G0559;11067;Zuid-Holland;P28;12605;4304;;7;4297;846;702;572;223;1723;122;69;13;10;7;10
Middenveld;G1697;10520;Drenthe;P22;24424;9145;;23;9122;2925;2604;1579;776;472;364;283;65;31;9;14
Mierlo;G0814;10215;Noord-Brabant;P30;7667;2345;;13;2332;870;341;541;210;22;137;165;19;12;5;10
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;8499;2642;;19;2623;1388;413;393;164;13;63;162;11;7;5;4
Millingen aan de Rijn;G0265;10072;Gelderland;P25;4484;1046;;0;1046;330;333;151;106;2;43;72;6;2;1;0
Moerdijk;G1709;10046;Noord-Brabant;P30;28038;7344;;20;7324;2476;1207;1519;592;429;620;254;150;36;25;16
Monster;G0562;10019;Zuid-Holland;P28;15229;4380;;32;4348;1673;494;999;222;627;176;88;25;22;15;7
Montfoort;G0335;10033;Utrecht;P26;9823;3390;;12;3378;911;434;699;428;601;160;102;19;9;7;8
Mook en Middelaar;G0944;10271;Limburg;P31;5835;2063;;5;2058;610;436;449;302;4;134;102;7;4;7;3
Moordrecht;G0563;10120;Zuid-Holland;P28;5518;1760;;10;1750;379;351;405;133;258;97;97;11;12;3;4
Muiden;G0424;10958;Noord-Holland;P27;5194;2121;;11;2110;416;459;585;246;55;227;72;19;4;6;21
Naaldwijk;G0565;11418;Zuid-Holland;P28;21288;6688;;72;6616;3001;740;1643;325;424;212;131;46;40;45;9
Naarden;G0425;10187;Noord-Holland;P27;12649;4977;;15;4962;767;732;2102;582;178;408;119;19;11;27;17
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;3987;1420;;6;1414;425;253;400;124;32;111;53;5;3;7;1
Nederlek;G0643;10050;Zuid-Holland;P28;11224;4360;;17;4343;688;1219;969;271;711;200;197;46;18;14;10
Nederweert;G0946;10681;Limburg;P31;12199;3501;;33;3468;2133;448;456;161;15;118;91;14;19;8;5
Neede;G0266;10367;Gelderland;P25;8682;3059;;3;3056;1106;857;538;176;130;129;90;11;10;4;5
Neerijnen;G0304;10125;Gelderland;P25;8340;3028;;11;3017;689;718;648;184;569;91;71;19;20;6;2
Niedorp;G0412;10923;Noord-Holland;P27;8510;2266;;2;2264;502;613;599;287;19;102;92;17;11;8;14
Nieuwegein;G0356;10374;Utrecht;P26;47662;12498;;45;12453;2596;2746;2725;1856;640;882;750;92;71;52;43
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;15086;4966;;13;4953;994;750;1353;397;877;365;138;43;21;9;6
Nieuwkoop;G0569;10728;Zuid-Holland;P28;8219;2526;;4;2522;772;369;587;253;245;154;96;14;13;11;8
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;6418;2966;;8;2958;333;541;261;117;1542;55;75;13;14;2;5
Nieuwleusen;G0170;10384;Overijssel;P23;6215;2455;;8;2447;1070;363;324;63;486;45;83;10;3;0;0
Nijefurd;G0104;10768;Fryslân;P21;8164;2976;;10;2966;1306;599;441;260;110;80;125;24;5;13;3
Nijkerk;G0267;10446;Gelderland;P25;20192;6883;;14;6869;2218;701;1073;427;2051;184;120;31;41;12;11
Nijmegen;G0268;11209;Gelderland;P25;118687;37361;;316;37045;8067;8109;4312;9506;424;2428;3712;206;136;70;75
Noord-Beveland;G1695;10250;Zeeland;P29;5430;1974;;10;1964;573;365;416;146;258;83;98;9;4;9;3
Noordenveld;G1699;10699;Drenthe;P22;23790;8448;;22;8426;1570;2433;2031;1030;461;483;244;99;46;13;16
Noorder-Koggenland;G0529;10924;Noord-Holland;P27;7761;2236;;3;2233;445;468;616;256;150;148;98;25;9;5;13
Noordoostpolder;G0171;10144;Flevoland;P24;30501;12108;;37;12071;4354;1997;2120;871;1870;434;316;32;41;22;14
Noordwijk;G0575;10769;Zuid-Holland;P28;18862;5494;;19;5475;1365;835;1645;684;284;251;311;37;28;25;10
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;11426;3738;;20;3718;1258;502;1103;409;58;196;125;33;13;11;10
Nootdorp;G0577;10601;Zuid-Holland;P28;6982;2027;;36;1991;639;256;503;215;74;143;97;33;17;7;7
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;17795;6138;;31;6107;1776;989;1560;834;87;524;259;30;26;15;7
Nunspeet;G0302;10512;Gelderland;P25;18940;8054;;14;8040;1591;539;1100;336;4109;153;119;35;34;18;6
Nuth;G0951;10104;Limburg;P31;12993;4061;;11;4050;2180;508;434;403;23;134;292;10;20;43;3
Obdam;G0429;11338;Noord-Holland;P27;4762;1289;;6;1283;467;216;342;112;9;61;47;6;6;10;7
Oegstgeest;G0579;10287;Zuid-Holland;P28;14499;6241;;32;6209;1110;1033;2084;824;265;635;154;30;21;39;14
Oirschot;G0823;10225;Noord-Brabant;P30;13276;4122;;27;4095;2116;588;731;301;10;170;121;18;20;11;9
Oisterwijk;G0824;10103;Noord-Brabant;P30;19224;5759;;20;5739;2176;911;1392;561;59;320;227;44;19;22;8
Oldebroek;G0269;11106;Gelderland;P25;16193;5532;;2;5530;1238;515;429;148;2991;95;74;14;16;6;4
Oldenzaal;G0173;11100;Overijssel;P23;23618;6690;;26;6664;2676;1426;1107;722;63;231;351;31;28;19;10
Olst;G0174;10409;Overijssel;P23;7053;2603;;9;2594;798;770;540;244;62;87;67;9;10;3;4
Ommen;G0175;11069;Overijssel;P23;12370;5501;;9;5492;2433;640;708;278;1092;183;102;30;10;15;1
