RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Forum voor Democratie;GROENLINKS;Democraten 66 (D66);ChristenUnie/SGP;Partij voor de Dieren;50PLUS;PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Volt Nederland;DENK;vandeRegio & Piratenpartij;De Groenen;JEZUS LEEFT
Amstelveen;G0362;10799;Haarlem;K10;59045;30047;68;40;29939;6093;6087;2236;3065;3407;3200;746;1374;1184;823;688;758;127;55;61;35
Amsterdam;G0363;11150;Amsterdam;K9;592365;268244;997;427;266820;54961;30881;7339;16721;62645;31419;3674;18189;5009;5063;8043;12263;8603;779;968;263
Apeldoorn;G0200;11075;Arnhem;K7;126920;53666;85;92;53489;9880;8135;5582;5447;5129;3599;6017;2287;2128;1677;1563;867;901;120;71;86
Appingedam;G0003;10886;Groningen;K1;9383;3138;4;2;3132;826;261;418;352;199;112;211;113;136;141;302;31;13;4;3;10
Arnhem;G0202;10795;Arnhem;K7;120641;47295;101;99;47095;10100;5828;2717;4207;8874;4273;1382;3043;1234;1331;1628;1180;1008;115;116;59
Assen;G0106;10522;Assen;K3;52734;22272;26;49;22197;5364;2652;2135;2082;2450;1336;2428;853;807;591;983;284;72;47;36;77
Asten;G0743;10478;'s-Hertogenbosch;K18;12803;5509;8;16;5485;755;753;1058;492;283;251;23;130;1308;156;166;82;5;7;9;7
Baarle-Nassau;G0744;10060;Tilburg;K17;5428;2068;5;4;2059;293;334;529;293;103;106;13;84;118;85;69;28;1;2;1;0
Baarn;G0308;11411;Utrecht;K8;19261;9776;25;19;9732;1740;1962;931;982;1040;810;548;468;350;243;220;323;60;31;12;12
Barendrecht;G0489;10943;Dordrecht;K14;36509;15407;22;29;15356;2166;2748;1821;2431;927;845;1782;507;746;537;375;235;165;31;15;25
Barneveld;G0203;10906;Arnhem;K7;42438;21348;32;22;21294;1441;2205;3532;2062;609;527;9005;303;481;521;240;164;123;22;15;44
Beek;G0888;11374;Maastricht;K19;13200;5534;11;20;5503;1747;525;963;640;351;247;34;192;201;332;173;72;9;7;6;4
Beekdaelen;G1954;10104;Maastricht;K19;29343;11429;15;30;11384;4048;941;1842;1265;759;429;66;489;318;669;380;131;8;16;13;10
Beemster;G0370;10816;Den Helder;K11;7659;3728;7;8;3713;709;927;458;498;286;218;53;168;102;140;82;64;1;5;2;0
Beesel;G0889;10195;Maastricht;K19;10694;3865;4;10;3851;1085;342;814;493;225;117;23;103;165;297;107;54;15;5;4;2
Berg en Dal;G1945;10616;Nijmegen;K6;28206;12367;28;34;12305;2883;1615;1480;1275;1726;783;110;632;460;500;545;241;7;19;20;9
Bergeijk;G1724;11160;'s-Hertogenbosch;K18;14624;5485;9;8;5468;967;790;1297;571;319;311;35;155;461;196;246;101;1;8;6;4
Bergen;G0893;11281;Maastricht;K19;10579;3673;9;11;3653;884;387;781;525;200;130;19;103;152;256;163;36;2;8;6;1
Bergen;G0373;11424;Den Helder;K11;24548;12736;17;24;12695;2767;2366;1146;1492;1543;924;157;789;465;370;270;339;16;16;28;7
Bergen op Zoom;G0748;11037;Tilburg;K17;51676;17517;46;36;17435;3725;3157;1774;2281;1339;1241;227;577;876;912;649;263;343;19;31;21
Berkelland;G1859;10436;Arnhem;K7;35290;15870;28;32;15810;3137;2173;4727;1483;1114;819;229;400;484;406;606;155;27;16;18;16
Bernheze;G1721;10149;'s-Hertogenbosch;K18;23886;8704;10;19;8675;1560;1439;2023;725;536;659;66;177;429;256;651;117;15;9;10;3
