RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Democraten 66 (D66);CDA;PVV (Partij voor de Vrijheid);VVD;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie-SGP;GROENLINKS;Partij voor de Dieren;50PLUS;Piratenpartij;Artikel50;Anti  EU(ro)  Partij;De Groenen;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij
Meerssen;G0938;10494;Maastricht;K19;15484;5606;25;19;5562;834;1030;1022;618;580;441;45;325;228;325;39;21;13;17;4;8;8;3;1
Menameradiel;G1908;11144;Leeuwarden;K2;10495;4224;10;20;4194;445;904;372;446;463;780;176;251;138;148;22;7;12;13;12;3;2;0;0
Menterwolde;G1987;11282;Groningen;K1;9764;3129;14;18;3097;283;268;508;270;606;450;171;170;160;134;27;19;9;6;5;3;2;3;3
Meppel;G0119;11204;Assen;K3;25284;9866;25;41;9800;1335;1430;1079;1272;1183;1123;883;630;367;294;44;45;29;36;15;10;13;9;3
Middelburg;G0687;10122;Middelburg;K16;36758;15238;32;36;15170;1876;1913;1381;1369;1590;1645;2883;1173;648;359;132;43;34;27;51;16;24;5;1
Midden-Delfland;G1842;10130;Dordrecht;K14;14024;6351;21;12;6318;1003;1616;649;1084;324;420;374;355;235;128;44;25;13;13;20;7;3;4;1
Midden-Drenthe;G1731;10520;Assen;K3;26306;10587;18;34;10535;1158;2149;1098;1326;966;1545;751;557;376;385;54;40;49;22;19;14;14;7;5
Mill en Sint Hubert;G0815;10535;'s-Hertogenbosch;K18;8560;3195;7;15;3173;240;827;501;452;506;161;25;98;89;215;16;17;6;3;6;2;6;2;1
Millingen aan de Rijn;G0265;10072;Nijmegen;K6;4648;1531;3;10;1518;187;166;219;145;244;237;18;90;72;102;20;11;2;3;0;0;1;1;0
Moerdijk;G1709;10046;Tilburg;K17;28720;9683;17;38;9628;1055;1765;1762;1465;1027;688;437;327;423;460;59;56;34;14;25;11;8;7;5
Molenwaard;G1927;10451;Dordrecht;K14;21169;11114;20;23;11071;551;1894;914;876;569;564;4897;187;236;213;35;27;12;4;72;7;6;3;4
Montferland;G1955;10350;Arnhem;K7;27776;9277;19;15;9243;1013;2510;1634;1147;931;749;83;292;306;411;50;41;23;28;8;5;5;5;2
Montfoort;G0335;10033;Utrecht;K8;10186;4671;9;12;4650;608;982;612;605;290;264;622;268;154;147;33;14;12;3;20;6;7;3;0
Mook en Middelaar;G0944;10271;Maastricht;K19;6170;2850;5;7;2838;556;411;244;436;277;294;33;288;125;105;24;9;2;7;9;8;7;1;2
Muiden;G0424;10958;Haarlem;K10;4790;2214;9;11;2194;559;256;214;361;122;246;25;159;123;86;8;11;10;4;1;2;1;4;2
Naarden;G0425;10187;Haarlem;K10;12497;6254;14;21;6219;1583;727;504;1541;232;465;153;444;280;168;30;34;12;9;1;7;22;5;2
Neder-Betuwe;G1740;10916;Nijmegen;K6;16482;6809;9;20;6780;436;761;967;488;301;537;2809;120;106;167;14;18;19;4;24;3;3;3;0
Nederlek;G0643;10050;Leiden;K15;11218;5157;14;22;5121;533;588;850;653;449;482;772;182;290;231;32;14;14;7;13;3;4;4;0
Nederweert;G0946;10681;Maastricht;K19;13333;4438;10;31;4397;402;1594;715;472;374;250;30;99;116;268;18;29;6;9;2;6;5;1;1
Neerijnen;G0304;10125;Nijmegen;K6;8977;3600;6;6;3588;375;512;561;476;216;296;753;116;115;95;14;26;6;9;5;0;12;0;1
Nieuwegein;G0356;10374;Utrecht;K8;47355;16355;41;92;16222;2345;1914;2681;1907;2121;1606;796;1081;648;657;167;91;75;28;37;23;35;8;2
Nieuwkoop;G0569;10728;Leiden;K15;21042;8076;11;26;8039;1096;1847;1221;1304;442;451;557;339;272;306;47;58;17;11;36;10;9;7;9
Nijkerk;G0267;10446;Arnhem;K7;30296;12811;24;37;12750;1255;2493;1580;1428;605;689;3290;424;325;380;73;59;48;11;59;14;7;5;5
Nijmegen;G0268;11209;Nijmegen;K6;132797;52989;84;254;52651;10770;4009;4524;4102;7506;6174;850;9807;2399;1072;562;218;73;241;62;165;65;34;18
Noord-Beveland;G1695;10250;Middelburg;K16;6006;2609;5;10;2594;247;482;408;387;256;219;235;82;132;79;14;8;13;10;13;3;4;1;1
Noordenveld;G1699;10699;Assen;K3;24713;10741;23;38;10680;1602;1364;1075;1433;934;1685;625;783;530;429;75;41;33;25;9;8;21;7;1
Noordoostpolder;G0171;10144;Lelystad;K5;33581;13492;25;34;13433;1251;3385;1478;1651;1092;880;2286;423;316;359;65;76;41;13;57;30;10;12;8
Noordwijk;G0575;10769;Leiden;K15;19733;8209;25;37;8147;1205;1299;1291;1581;523;581;217;489;381;371;57;78;27;12;8;4;11;7;5
Noordwijkerhout;G0576;11134;Leiden;K15;12067;5178;11;10;5157;690;1004;835;991;342;325;81;255;216;274;47;44;15;8;5;7;10;3;5
Nuenen, Gerwen en Nederwetten;G0820;10761;'s-Hertogenbosch;K18;17847;7583;13;46;7524;1552;1198;721;1087;834;652;87;485;245;527;44;27;15;13;3;8;14;9;3
Nunspeet;G0302;10512;Arnhem;K7;20310;9837;17;15;9805;527;1401;916;821;380;290;4730;181;224;202;28;40;19;5;24;11;3;2;1
Nuth;G0951;10104;Maastricht;K19;12753;4661;15;41;4605;498;1012;904;471;455;330;25;277;249;289;27;24;21;7;2;4;5;3;2
Oegstgeest;G0579;10287;Leiden;K15;16847;8883;18;24;8841;2391;1048;638;1672;400;868;304;671;390;227;101;56;14;23;10;12;12;2;2
Oirschot;G0823;10225;'s-Hertogenbosch;K18;14157;5097;13;19;5065;669;1504;642;767;594;288;29;154;116;227;19;17;10;11;1;4;5;7;1
Oisterwijk;G0824;10103;Tilburg;K17;20110;7483;9;26;7448;1252;1459;782;1703;579;525;96;368;222;342;24;33;14;14;7;9;12;7;0
Oldambt;G1895;10453;Groningen;K1;31057;10331;51;49;10231;909;1194;1587;935;1958;1424;670;428;486;439;61;40;41;11;27;3;11;4;3
Oldebroek;G0269;11106;Arnhem;K7;17484;6577;10;13;6554;291;1069;673;382;339;295;3030;106;114;144;24;22;12;4;34;5;4;4;2
Oldenzaal;G0173;11100;Zwolle;K4;24791;8150;18;28;8104;1167;2367;886;887;792;672;92;595;220;273;48;30;24;15;8;11;9;5;3
Olst-Wijhe;G1773;10409;Zwolle;K4;13810;5374;8;20;5346;730;1433;413;687;458;653;183;329;190;178;32;18;13;11;7;6;1;2;2
Ommen;G0175;11069;Zwolle;K4;13436;5972;14;15;5943;589;2111;430;643;293;321;1028;158;158;132;23;11;10;11;14;3;5;2;1
Onderbanken;G0881;10492;Maastricht;K19;6356;2207;6;5;2196;224;436;557;177;300;142;15;73;95;131;13;11;6;6;5;3;0;1;1
Oost Gelre;G1586;11094;Arnhem;K7;23049;8013;18;27;7968;864;3003;745;1036;688;627;92;231;187;337;41;45;19;8;10;13;14;4;4
Oosterhout;G0826;11280;Tilburg;K17;41715;13918;34;51;13833;2246;2136;2330;2183;1567;1008;170;773;481;660;72;75;33;29;29;19;10;10;2
Ooststellingwerf;G0085;10836;Leeuwarden;K2;20392;8052;18;20;8014;781;1389;936;1218;834;1121;452;465;405;234;57;26;30;23;14;17;7;5;0
Oostzaan;G0431;11303;Den Helder;K11;7128;2742;8;5;2729;345;197;539;407;249;302;86;219;155;145;38;26;11;5;1;1;1;1;1
Opmeer;G0432;10609;Den Helder;K11;8717;3091;9;12;3070;345;752;450;524;234;269;35;108;117;175;23;12;9;5;3;3;5;0;1
Opsterland;G0086;10005;Leeuwarden;K2;23099;9215;18;31;9166;962;1573;749;1044;1052;1417;1052;538;335;273;33;34;27;22;23;5;13;9;5
Oss;G0828;10834;'s-Hertogenbosch;K18;65324;23585;40;84;23461;3164;4002;3533;2558;4136;1734;192;1152;741;1836;167;83;47;37;24;18;26;9;2
Oud-Beijerland;G0584;11301;Dordrecht;K14;18243;7020;15;13;6992;922;830;1064;836;530;510;1349;300;319;202;38;32;12;13;12;11;6;4;2
Oude IJsselstreek;G1509;10260;Arnhem;K7;31555;10352;16;28;10308;1171;2852;1388;1166;1122;1026;224;376;356;469;45;34;25;24;7;7;6;7;3
Ouder-Amstel;G0437;10998;Haarlem;K10;9958;4629;13;12;4604;949;627;468;732;279;483;131;397;232;171;45;34;18;13;12;1;6;4;2
Ouderkerk;G0644;10095;Leiden;K15;6231;2924;3;6;2915;221;322;422;329;200;191;952;79;89;59;20;13;6;1;9;0;2;0;0
Oudewater;G0589;10188;Utrecht;K8;7540;3082;6;13;3063;347;832;391;427;157;190;386;112;71;88;13;17;11;3;8;6;2;1;1
Overbetuwe;G1734;11188;Arnhem;K7;35309;12821;30;38;12753;2187;2536;1471;1557;1229;1008;911;793;412;413;66;68;24;17;16;17;8;18;2
Papendrecht;G0590;10427;Dordrecht;K14;24773;9105;13;16;9076;1076;1215;1430;1098;756;673;1550;262;412;333;65;64;31;15;51;19;17;6;3
Peel en Maas;G1894;10205;Maastricht;K19;34712;10643;14;56;10573;1044;2958;1993;1260;971;616;60;303;285;856;71;55;36;18;12;16;7;7;5
Pekela;G0765;10848;Groningen;K1;9919;3040;13;18;3009;141;345;691;183;659;387;188;126;127;111;12;10;9;3;8;5;3;0;1
Pijnacker-Nootdorp;G1926;10031;Leiden;K15;36547;15037;28;59;14950;2765;2462;2192;2395;1009;1041;804;895;624;397;137;90;30;24;18;20;28;14;5
Purmerend;G0439;11066;Den Helder;K11;61906;18943;71;70;18802;2707;1567;3914;2191;2185;2098;352;1146;1140;887;207;141;122;37;33;27;24;16;8
Putten;G0273;11109;Arnhem;K7;18284;8292;15;15;8262;511;1878;908;814;295;259;2917;185;167;192;17;36;35;3;30;5;6;1;3
Raalte;G0177;10279;Zwolle;K4;28544;10661;20;41;10600;1226;4112;845;1297;779;830;301;464;203;407;37;35;17;17;14;9;1;6;0
Reimerswaal;G0703;10077;Middelburg;K16;15418;7533;18;7;7508;290;928;1053;530;440;328;3394;72;157;205;17;41;18;3;15;4;9;4;0
Renkum;G0274;11325;Arnhem;K7;25021;11974;29;23;11922;2669;1590;1025;1695;885;1138;424;1264;653;355;61;51;26;28;20;10;10;15;3
Renswoude;G0339;10269;Utrecht;K8;3563;1544;2;7;1535;84;381;173;192;57;36;498;30;25;42;5;3;1;0;5;0;3;0;0
Reusel-De Mierden;G1667;10162;'s-Hertogenbosch;K18;10030;2908;6;10;2892;277;817;425;409;300;212;13;82;81;222;15;15;6;7;4;2;3;1;1
Rheden;G0275;11355;Arnhem;K7;34844;14508;27;38;14443;2567;1954;1619;1852;1772;1580;519;1198;663;437;85;51;27;39;28;20;19;11;2
Rhenen;G0340;10309;Utrecht;K8;14489;6509;10;12;6487;738;865;886;717;288;433;1721;345;206;169;32;27;13;8;20;8;11;0;0
Ridderkerk;G0597;10646;Dordrecht;K14;36145;13566;33;38;13495;1116;1633;2560;1214;1088;1029;3155;307;611;476;89;71;43;24;48;17;10;2;2
Rijnwaarden;G0196;10819;Arnhem;K7;8599;2499;5;7;2487;254;490;514;244;294;247;21;92;105;179;16;9;9;8;1;2;1;1;0
Rijssen-Holten;G1742;10358;Zwolle;K4;27745;13324;18;15;13291;662;3007;969;908;489;642;5920;199;176;181;36;43;18;5;25;4;3;3;1
Rijswijk;G0603;11133;Dordrecht;K14;37240;14796;32;78;14686;2594;1658;2790;1836;1283;1315;399;930;762;685;143;116;61;35;30;16;21;8;4
Roerdalen;G1669;10196;Maastricht;K19;16630;5813;12;38;5763;524;1409;1346;519;559;545;42;195;224;303;24;21;13;10;8;16;4;1;0
Roermond;G0957;11313;Maastricht;K19;43910;13675;28;71;13576;1832;2379;2852;1492;1479;1103;139;888;547;496;85;124;48;38;21;20;17;15;1
