RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Democraten 66 (D66);CDA;PVV (Partij voor de Vrijheid);VVD;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie-SGP;GROENLINKS;Partij voor de Dieren;50PLUS;Piratenpartij;Artikel50;Anti  EU(ro)  Partij;De Groenen;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij
Weert;G0988;11081;Maastricht;K19;38386;13391;34;70;13287;1421;3726;2529;1383;1681;778;114;411;389;607;79;75;31;15;17;11;7;7;6
Weesp;G0457;10773;Haarlem;K10;13956;5495;24;27;5444;956;678;629;696;503;591;139;592;253;220;49;69;23;15;5;10;10;3;3
Werkendam;G0870;10078;Tilburg;K17;20257;7797;13;15;7769;536;1632;1177;741;460;401;2076;214;171;251;24;14;23;9;30;7;1;2;0
West Maas en Waal;G0668;10042;Nijmegen;K6;14514;5077;15;14;5048;563;934;843;920;699;317;48;186;147;313;21;13;7;12;2;5;10;4;4
Westerveld;G1701;10186;Assen;K3;15237;6927;21;24;6882;878;1041;636;1228;608;970;274;464;390;265;35;14;25;27;5;6;13;2;1
Westervoort;G0293;11085;Arnhem;K7;11934;3984;8;24;3952;535;603;578;386;623;387;135;278;172;158;30;24;10;16;4;4;4;1;4
Westland;G1783;11418;Dordrecht;K14;77218;29827;45;131;29651;3112;7618;5777;5261;1426;1318;2014;720;894;918;172;171;54;33;68;35;23;25;12
Weststellingwerf;G0098;11322;Leeuwarden;K2;20232;7532;21;17;7494;637;1381;1004;1243;798;1021;265;390;321;250;49;41;28;14;19;11;12;7;3
Westvoorne;G0614;10009;Dordrecht;K14;11272;4735;11;18;4706;696;565;898;1057;326;385;133;143;267;159;14;24;18;8;3;2;3;3;2
Wierden;G0189;10676;Zwolle;K4;18424;7993;12;13;7968;565;3489;751;699;364;320;1165;187;119;208;29;15;16;6;26;4;3;2;0
Wijchen;G0296;10723;Nijmegen;K6;31650;11477;20;41;11416;1870;1870;1621;1655;1476;1049;147;550;407;534;94;58;23;14;7;23;10;5;3
Wijdemeren;G1696;10534;Haarlem;K10;18184;7594;17;12;7565;1412;1292;937;1413;454;562;294;380;395;269;59;41;18;14;4;8;9;3;1
Wijk bij Duurstede;G0352;10760;Utrecht;K8;17902;7276;14;29;7233;1077;957;1052;984;842;565;532;620;285;184;37;37;23;8;7;9;6;5;3
Winsum;G0053;11135;Groningen;K1;10596;5022;13;25;4984;539;904;304;414;470;705;680;509;262;118;36;16;5;8;6;1;4;1;2
Winterswijk;G0294;11119;Arnhem;K7;22274;8158;24;31;8103;988;1792;700;1351;950;1060;174;398;278;294;35;25;4;14;15;10;5;5;5
Woensdrecht;G0873;10602;Tilburg;K17;16550;5209;16;9;5184;630;869;1202;708;511;350;59;135;225;379;32;26;18;8;14;6;7;2;3
Woerden;G0632;10974;Utrecht;K8;38012;16974;34;47;16893;2917;3512;1764;2140;913;1320;2025;928;557;443;109;93;41;30;50;18;15;12;6
Wormerland;G0880;10648;Den Helder;K11;12312;4680;17;22;4641;656;501;643;652;564;538;126;385;287;193;44;17;12;5;8;2;5;2;1
Woudenberg;G0351;11398;Utrecht;K8;9198;4585;6;9;4570;382;767;434;498;212;239;1621;116;93;126;20;23;8;2;19;5;4;1;0
Woudrichem;G0874;10282;Tilburg;K17;11202;4184;8;8;4168;304;998;475;420;299;237;982;139;117;113;14;14;12;2;33;4;3;1;1
